"scientific_name","Zone1_A","Zone1_B","Zone1_C","Zone1_D","Zone1_E","Zone2_A","Zone2_B","Zone2_C","Zone2_D","Zone2_E","Zone3_A","Zone3_B","Zone3_C","Zone3_D","Zone3_E","Zone3_F","Zone4_A","Zone4_B","Zone4_C","Zone4_D","Zone4_E","Zone4_F","Zone4_G","Zone4_H","Zone4_I","Zone4_J","Zone4_K"
"Taurulus.bubalis",0.07,0.04,0,0,0,0,0,4.28,1.23,10.55,5.14,14.91,44.02,9.46,0.63,12.08,87.96,2.78,40.59,41.19,3.63,8.27,42.23,22.44,33.44,0.02,5.21
"Tinca.tinca",6.55,40.35,47.18,4.71,0.17,24.1,43.9,35.23,0.02,4.81,43.1,5.46,0,4,0,0,0,0,0,2.96,0,0,0,0,0,0,0
"Trachinus.draco",0,0,0,0,0,0,0,0.1,0.01,0.08,0.17,0.01,17.87,0.96,0.17,53.03,12.93,100,0,3.7,77.26,64.81,73.71,84.97,47.55,99.98,99.22
"Trachurus.trachurus",0,0,0,0,0,0,0,0.04,7.51,5.67,0.03,0.03,31.1,7.28,8.66,95.92,17.68,100,0,14.21,99.66,98.9,58.42,83.57,58.96,100,99.76
"Trisopterus.esmarkii",0,0,0,0,0,0,0,0,0.02,0,0,0,0.72,0,0.02,20.12,0.09,100,0,0.01,18.52,24.33,15.77,50.03,17.39,98.33,85.88
"Trisopterus.minutus",0,0,0,0,0,0,0,0,2.01,0,0,0,0.8,0.03,2.47,34.34,0,100,0,0.07,18.78,36.15,20.17,52.83,19.39,99.99,91.5
"Vimba.vimba",14.27,67.7,63.84,7.32,0.33,32.97,47.21,40.87,0.27,9.93,42.82,13.03,0,8.29,0.05,0,0,0,0,8.51,0,0,0,0,0.39,0,0
"Zoarces.viviparus",51.77,37.24,5.19,18.32,5.14,5.02,23.34,67.2,50.25,67.45,72.38,85.65,89,65.8,42.52,50.61,92.2,0,100,91.87,97.92,61.43,29.46,35.62,64.16,0.04,9.92
"Alloteuthis.subulata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,91.67,0,0,0,0.07,0.11,14.07,2.58,66.35,34.82
"Cancer.pagurus",0,0,0,0,0,0,0,0,0,0,0.04,0,6.15,0.01,0,6.69,21.77,100,1.48,1.61,0.17,2.31,62.44,58.62,26.48,92.71,80.97
"Carcinus.maenas",0.01,5.62,0.08,0,0,0,0,7.59,0,2.06,11.55,0.19,30.59,2.59,0,6.62,22.66,0,100,30.52,0,7.95,7.86,6.78,16.74,9.58,9.63
"Homarus.gammarus",0,0,0,0,0,0,0,0.05,0,0.03,0.1,0,17.2,0.14,0,15.31,18.1,77.78,5.17,9.33,4.52,16.43,52.65,36.2,23.24,45.39,39.83
"Hyas.araneus",0,0.02,0,0,0,0,0,0.23,0.02,0.02,0.33,0,7.12,0.15,0.02,1.09,2.12,100,26.94,5.57,0,1.27,13.23,13.38,7.88,33.53,26.78
"Loligo.forbesii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,98.61,0,0,0,0.1,13.52,37.01,12.28,91.19,69.21
"Macropodia.rostrata",0,0,0,0,0,0,0,0.1,0,0.01,0.13,0,3.83,0.13,0,0.1,1.6,0,6.46,4,0,0.14,2.77,0.37,2.09,0,0.11
"Nephrops.norvegicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,0,95.83,0,0,0,0.62,0.41,28.75,6.68,94.91,60.73
