"species","colour","cluster","cluster_int","cluster_name"
"Hediste.diversicolor","#00A6CA","E",5,"Zone2_E"
"Battersia.arctica","#00A6CA","E",5,"Zone2_E"
"Corophium.volutator","#00A6CA","E",5,"Zone2_E"
"Gammarus.zaddachi","#00A6CA","E",5,"Zone2_E"
"Gammarus.salinus","#00A6CA","E",5,"Zone2_E"
"Jaera.albifrons","#00A6CA","E",5,"Zone2_E"
"Bathyporeia.pilosa","#00A6CA","E",5,"Zone2_E"
"Cyanophthalma.obscura","#00A6CA","E",5,"Zone2_E"
"Einhornia.crustulenta","#00A6CA","E",5,"Zone2_E"
"Cladophora.rupestris","#00A6CA","E",5,"Zone2_E"
"Neomysis.integer","#00A6CA","E",5,"Zone2_E"
"Coccotylus.Phyllophora","#00A6CA","E",5,"Zone2_E"
"Pygospio.elegans","#00A6CA","E",5,"Zone2_E"
"Vertebrata.fucoides","#00A6CA","E",5,"Zone2_E"
"Ceramium.tenuicorne","#00A6CA","E",5,"Zone2_E"
"Ectocarpus.Pylaiella","#00A6CA","E",5,"Zone2_E"
"Furcellaria.lumbricalis","#00A6CA","E",5,"Zone2_E"
"Gaillona.rosea","#00A6CA","E",5,"Zone2_E"
"Rhodochorton.purpureum","#00A6CA","E",5,"Zone2_E"
"Eudesme.virescens","#00A6CA","E",5,"Zone2_E"
"Mytilus","#00A6CA","E",5,"Zone2_E"
"Pontoporeia.femorata","#B675E0","D",4,"Zone2_D"
"Monoporeia.affinis","#B675E0","D",4,"Zone2_D"
"Saduria.entomon","#B675E0","D",4,"Zone2_D"
"Mysis.mixta","#B675E0","D",4,"Zone2_D"
"Mysis.relicta","#B675E0","D",4,"Zone2_D"
"Bylgides.sarsi","#B675E0","D",4,"Zone2_D"
"Marenzelleria","#B675E0","D",4,"Zone2_D"
"Halicryptus.spinulosus","#B675E0","D",4,"Zone2_D"
"Limecola.balthica","#B675E0","D",4,"Zone2_D"
"Elachista.fucicola","#E16A86","C",3,"Zone2_C"
"Stictyosiphon.tortilis","#E16A86","C",3,"Zone2_C"
"Zannichellia.major","#E16A86","C",3,"Zone2_C"
"Chorda.filum","#E16A86","C",3,"Zone2_C"
"Dictyosiphon.foeniculaceus","#E16A86","C",3,"Zone2_C"
"Fucus.vesiculosus.radicans","#E16A86","C",3,"Zone2_C"
"Ulva.prolifera","#E16A86","C",3,"Zone2_C"
"Urospora.penicilliformis","#E16A86","C",3,"Zone2_C"
"Chaetomorpha.linum","#E16A86","C",3,"Zone2_C"
"Chara.connivens","#E16A86","C",3,"Zone2_C"
"Rhizoclonium.riparium","#E16A86","C",3,"Zone2_C"
"Ruppia.cirrhosa","#E16A86","C",3,"Zone2_C"
"Ruppia.maritima","#E16A86","C",3,"Zone2_C"
"Chara.baltica","#E16A86","C",3,"Zone2_C"
"Chara.canescens","#E16A86","C",3,"Zone2_C"
"Gammarus.tigrinus","#E16A86","C",3,"Zone2_C"
"Potamogeton.perfoliatus","#E16A86","C",3,"Zone2_C"
"Myriophyllum.spicatum","#E16A86","C",3,"Zone2_C"
"Stuckenia.pectinata","#E16A86","C",3,"Zone2_C"
"Ranunculus.peltatus.peltatus","#E16A86","C",3,"Zone2_C"
"Chara.aspera","#E16A86","C",3,"Zone2_C"
"Zannichellia.palustris","#E16A86","C",3,"Zone2_C"
"Bolboschoenus.maritimus","#AA9000","B",2,"Zone2_B"
"Ranunculus.aquatilis","#AA9000","B",2,"Zone2_B"
"Ceratophyllum.demersum","#AA9000","B",2,"Zone2_B"
"Phragmites.australis","#AA9000","B",2,"Zone2_B"
"Myriophyllum.sibiricum","#AA9000","B",2,"Zone2_B"
"Chara.tomentosa","#AA9000","B",2,"Zone2_B"
"Najas.marina","#AA9000","B",2,"Zone2_B"
"Lemna.trisulca","#AA9000","B",2,"Zone2_B"
"Vaucheria","#AA9000","B",2,"Zone2_B"
"Hippuris.vulgaris","#AA9000","B",2,"Zone2_B"
"Schoenoplectus.tabernaemontani","#AA9000","B",2,"Zone2_B"
"Schoenoplectus.lacustris","#00AA5A","A",1,"Zone2_A"
"Typha.angustifolia","#00AA5A","A",1,"Zone2_A"
"Myriophyllum.verticillatum","#00AA5A","A",1,"Zone2_A"
"Nymphaea.alba","#00AA5A","A",1,"Zone2_A"
"Typha.latifolia","#00AA5A","A",1,"Zone2_A"
"Nuphar.lutea","#00AA5A","A",1,"Zone2_A"
"Equisetum.fluviatile","#00AA5A","A",1,"Zone2_A"
"Potamogeton.natans","#00AA5A","A",1,"Zone2_A"
"Sagittaria.sagittifolia","#00AA5A","A",1,"Zone2_A"
"Sparganium.emersum","#00AA5A","A",1,"Zone2_A"
"Callitriche.hermaphroditica","#00AA5A","A",1,"Zone2_A"
"Myriophyllum.alterniflorum","#00AA5A","A",1,"Zone2_A"
"Chara.virgata","#00AA5A","A",1,"Zone2_A"
"Butomus.umbellatus","#00AA5A","A",1,"Zone2_A"
"Potamogeton.crispus","#00AA5A","A",1,"Zone2_A"
"Fontinalis.antipyretica","#00AA5A","A",1,"Zone2_A"
"Fontinalis.dalecarlica","#00AA5A","A",1,"Zone2_A"
"Eleocharis.uniglumis","#00AA5A","A",1,"Zone2_A"
"Juncus.gerardii","#00AA5A","A",1,"Zone2_A"
"Lemna.minor","#00AA5A","A",1,"Zone2_A"
"Dreissena.polymorpha","#00AA5A","A",1,"Zone2_A"
"Monostroma.balticum","#00AA5A","A",1,"Zone2_A"
"Potamogeton.obtusifolius","#00AA5A","A",1,"Zone2_A"
"Zygnema","#00AA5A","A",1,"Zone2_A"
"Eleocharis.palustris","#00AA5A","A",1,"Zone2_A"
"Eleocharis.parvula","#00AA5A","A",1,"Zone2_A"
"Stuckenia.vaginata","#00AA5A","A",1,"Zone2_A"
"Aegagropila.linnaei","#00AA5A","A",1,"Zone2_A"
"Potamogeton.berchtoldii","#00AA5A","A",1,"Zone2_A"
"Cerastoderma.edule","#00AA5A","A",1,"Zone2_A"
"Hippuris.tetraphylla","#00AA5A","A",1,"Zone2_A"
"Nitellopsis.obtusa","#00AA5A","A",1,"Zone2_A"
"Corbula.gibba","#E16A86","F",6,"Zone3_F"
"Ophiura.albida","#E16A86","F",6,"Zone3_F"
"Abra.alba","#E16A86","F",6,"Zone3_F"
"Levinsenia.gracilis","#E16A86","F",6,"Zone3_F"
"Nephtys.ciliata","#E16A86","F",6,"Zone3_F"
"Dendrodoa.grossularia","#E16A86","F",6,"Zone3_F"
"Electra.pilosa","#E16A86","F",6,"Zone3_F"
"Pholoe.assimilis","#E16A86","F",6,"Zone3_F"
"Malacobdella.grossa","#E16A86","F",6,"Zone3_F"
"Nereimyra.punctata","#E16A86","F",6,"Zone3_F"
"Pherusa.plumosa","#E16A86","F",6,"Zone3_F"
"Astarte.borealis","#E16A86","F",6,"Zone3_F"
"Astarte.elliptica","#E16A86","F",6,"Zone3_F"
"Priapulus.caudatus","#E16A86","F",6,"Zone3_F"
"Terebellides.stroemii","#E16A86","F",6,"Zone3_F"
"Gammarus.tigrinus","#E16A86","F",6,"Zone3_F"
"Scoloplos.armiger","#E16A86","F",6,"Zone3_F"
"Ampharete.baltica","#E16A86","F",6,"Zone3_F"
"Aricidea.suecica","#E16A86","F",6,"Zone3_F"
"Arctica.islandica","#E16A86","F",6,"Zone3_F"
"Trochochaeta.multisetosa","#E16A86","F",6,"Zone3_F"
"Asterias.rubens","#E16A86","F",6,"Zone3_F"
"Phyllodoce.mucosa","#E16A86","F",6,"Zone3_F"
"Phycodrys.rubens","#E16A86","F",6,"Zone3_F"
"Dipolydora.quadrilobata","#E16A86","F",6,"Zone3_F"
"Gastrosaccus.spinifer","#E16A86","F",6,"Zone3_F"
"Parvicardium.pinnulatum","#E16A86","F",6,"Zone3_F"
"Harmothoe.imbricata","#E16A86","F",6,"Zone3_F"
"Kurtiella.bidentata","#E16A86","F",6,"Zone3_F"
"Sphaceloderma.caespitulum","#E16A86","F",6,"Zone3_F"
"Callopora.lineata","#E16A86","F",6,"Zone3_F"
"Mya.truncata","#E16A86","F",6,"Zone3_F"
"Lineus.ruber","#E16A86","F",6,"Zone3_F"
"Crassicorophium.crassicor","#E16A86","F",6,"Zone3_F"
"Aricidea.minuta","#E16A86","F",6,"Zone3_F"
"Spio.goniocephala","#E16A86","F",6,"Zone3_F"
"Eteone.longa","#E16A86","F",6,"Zone3_F"
"Nephtys.caeca","#E16A86","F",6,"Zone3_F"
"Pontoporeia.femorata","#C86DD7","E",5,"Zone3_E"
"Diastylis.rathkei","#C86DD7","E",5,"Zone3_E"
"Bylgides.sarsi","#C86DD7","E",5,"Zone3_E"
"Halicryptus.spinulosus","#C86DD7","E",5,"Zone3_E"
"Micrura.baltica","#C86DD7","E",5,"Zone3_E"
"Monoporeia.affinis","#C86DD7","E",5,"Zone3_E"
"Saduria.entomon","#C86DD7","E",5,"Zone3_E"
"Baltidrilus.costatus","#50A315","D",4,"Zone3_D"
"Aglaothamnion.tenuissimum","#50A315","D",4,"Zone3_D"
"Fabricia.stellaris","#50A315","D",4,"Zone3_D"
"Ceramium.diaphanum","#50A315","D",4,"Zone3_D"
"Streblospio.shrubsolii","#50A315","D",4,"Zone3_D"
"Polyides.rotunda","#50A315","D",4,"Zone3_D"
"Alitta.succinea","#50A315","D",4,"Zone3_D"
"Desmarestia.viridis","#50A315","D",4,"Zone3_D"
"Tubificoides.benedii","#50A315","D",4,"Zone3_D"
