"species","colour","cluster","cluster_int","cluster_name"
"Mya.arenaria","#909800","D",4,"Zone1_D"
"Cerastoderma.glaucum","#909800","D",4,"Zone1_D"
"Hediste.diversicolor","#909800","D",4,"Zone1_D"
"Gammarus.oceanicus","#909800","D",4,"Zone1_D"
"Theodoxus.fluviatilis","#909800","D",4,"Zone1_D"
"Ecrobia.ventrosa","#909800","D",4,"Zone1_D"
"Peringia.ulvae","#909800","D",4,"Zone1_D"
"Neomysis.integer","#909800","D",4,"Zone1_D"
"Pygospio.elegans","#909800","D",4,"Zone1_D"
"Battersia.arctica","#909800","D",4,"Zone1_D"
"Limecola.balthica","#909800","D",4,"Zone1_D"
"Marenzelleria","#909800","D",4,"Zone1_D"
"Corophium.volutator","#909800","D",4,"Zone1_D"
"Cyanophthalma.obscura","#909800","D",4,"Zone1_D"
"Gammarus.zaddachi","#909800","D",4,"Zone1_D"
"Bathyporeia.pilosa","#909800","D",4,"Zone1_D"
"Amphibalanus.improvisus","#909800","D",4,"Zone1_D"
"Gammarus.salinus","#909800","D",4,"Zone1_D"
"Jaera.albifrons","#909800","D",4,"Zone1_D"
"Zannichellia.major","#909800","D",4,"Zone1_D"
"Chorda.filum","#909800","D",4,"Zone1_D"
"Eudesme.virescens","#909800","D",4,"Zone1_D"
"Fucus.vesiculosus.radicans","#909800","D",4,"Zone1_D"
"Stictyosiphon.tortilis","#909800","D",4,"Zone1_D"
"Dictyosiphon.foeniculaceus","#909800","D",4,"Zone1_D"
"Elachista.fucicola","#909800","D",4,"Zone1_D"
"Rhodochorton.purpureum","#909800","D",4,"Zone1_D"
"Cladophora.rupestris","#909800","D",4,"Zone1_D"
"Vertebrata.fucoides","#909800","D",4,"Zone1_D"
"Ceramium.tenuicorne","#909800","D",4,"Zone1_D"
"Ectocarpus.Pylaiella","#909800","D",4,"Zone1_D"
"Coccotylus.Phyllophora","#909800","D",4,"Zone1_D"
"Furcellaria.lumbricalis","#909800","D",4,"Zone1_D"
"Gaillona.rosea","#909800","D",4,"Zone1_D"
"Einhornia.crustulenta","#909800","D",4,"Zone1_D"
