"species","colour","cluster","cluster_int"
"Bolboschoenus.maritimus","#009ADE","F",6
"Lemna.minor","#009ADE","F",6
"Juncus.gerardii","#009ADE","F",6
"Triglochin.maritima","#009ADE","F",6
"Monostroma.balticum","#009ADE","F",6
"Chorda.filum","#009ADE","F",6
"Fucus.vesiculosus.radicans","#009ADE","F",6
"Heterotanais.oerstedii","#009ADE","F",6
"Ruppia.cirrhosa","#009ADE","F",6
"Zannichellia.palustris","#009ADE","F",6
"Myriophyllum.spicatum","#009ADE","F",6
"Chara.baltica","#009ADE","F",6
"Stuckenia.pectinata","#009ADE","F",6
"Chara.canescens","#009ADE","F",6
"Ruppia.maritima","#009ADE","F",6
"Cladophora.rupestris","#E16A86","E",5
"Elachista.fucicola","#E16A86","E",5
"Rhodochorton.purpureum","#E16A86","E",5
"Eudesme.virescens","#E16A86","E",5
"Gaillona.rosea","#E16A86","E",5
"Leathesia.marina","#E16A86","E",5
"Neomysis.integer","#E16A86","E",5
"Streblospio.shrubsolii","#E16A86","E",5
"Dictyosiphon.foeniculaceus","#E16A86","E",5
"Ceramium.tenuicorne","#E16A86","E",5
"Ectocarpus.Pylaiella","#E16A86","E",5
"Gammarus.tigrinus","#E16A86","E",5
"Gammarus.oceanicus","#E16A86","E",5
"Theodoxus.fluviatilis","#E16A86","E",5
"Cyanophthalma.obscura","#E16A86","E",5
"Ecrobia.ventrosa","#E16A86","E",5
"Ceramium.virgatum","#00AD9A","D",4
"Cladophora.sericea","#00AD9A","D",4
"Dumontia.contorta","#00AD9A","D",4
"Rhizoclonium.riparium","#00AD9A","D",4
"Ulva.prolifera","#00AD9A","D",4
"Scytosiphon.lomentaria","#00AD9A","D",4
"Chaetomorpha.linum","#00AD9A","D",4
"Zostera.marina","#00AD9A","D",4
"Mysis.mixta","#00AD9A","D",4
"Mysis.relicta","#00AD9A","D",4
"Opercularella.lacerata","#00AD9A","D",4
"Astarte.elliptica","#00AD9A","D",4
"Lagis.koreni","#00AD9A","D",4
"Chara.horrida","#00AD9A","D",4
"Eleocharis.parvula","#00AD9A","D",4
"Schoenoplectus.lacustris","#00AD9A","D",4
"Lamprops.fasciatus","#00AD9A","D",4
"Cerastoderma.edule","#00AD9A","D",4
"Rangia.cuneata","#00AD9A","D",4
"Mya.truncata","#00AD9A","D",4
"Apherusa.bispinosa","#00AD9A","D",4
"Ericthonius.brasiliensis","#00AD9A","D",4
"Pontoporeia.femorata","#50A315","C",3
"Monoporeia.affinis","#50A315","C",3
"Saduria.entomon","#50A315","C",3
"Bylgides.sarsi","#50A315","C",3
"Halicryptus.spinulosus","#50A315","C",3
"Marenzelleria","#50A315","C",3
"Limecola.balthica","#50A315","C",3
"Pygospio.elegans","#50A315","C",3
"Diastylis.rathkei","#50A315","C",3
"Ampharete.acutifrons","#50A315","C",3
"Micrura.baltica","#50A315","C",3
"Battersia.arctica","#B88A00","B",2
"Furcellaria.lumbricalis","#B88A00","B",2
"Gammarus.zaddachi","#B88A00","B",2
"Vertebrata.fucoides","#B88A00","B",2
"Peringia.ulvae","#B88A00","B",2
"Cerastoderma.glaucum","#B88A00","B",2
"Mya.arenaria","#B88A00","B",2
"Corophium.volutator","#B88A00","B",2
"Hediste.diversicolor","#B88A00","B",2
"Amphibalanus.improvisus","#B88A00","B",2
"Bathyporeia.pilosa","#B88A00","B",2
"Gammarus.salinus","#B88A00","B",2
"Jaera.albifrons","#B88A00","B",2
"Coccotylus.Phyllophora","#B88A00","B",2
"Mytilus","#B88A00","B",2
"Einhornia.crustulenta","#B88A00","B",2
"Rhodomela.confervoides","#B88A00","B",2
"Ampithoe.rubricata","#B88A00","B",2
"Corophium.multisetosum","#B88A00","B",2
"Alitta.succinea","#C86DD7","A",1
"Tubificoides.benedii","#C86DD7","A",1
"Baltidrilus.costatus","#C86DD7","A",1
"Polyides.rotunda","#C86DD7","A",1
"Fabricia.stellaris","#C86DD7","A",1
"Aglaothamnion.tenuissimum","#C86DD7","A",1
"Ceramium.diaphanum","#C86DD7","A",1
"Desmarestia.viridis","#C86DD7","A",1
