"species","colour","cluster","cluster_int"
"Ericthonius.brasiliensis","#00A9BE","G",7
"Stictyosiphon.tortilis","#00A9BE","G",7
"Apherusa.bispinosa","#00A9BE","G",7
"Cerastoderma.edule","#00A9BE","G",7
"Lamprops.fasciatus","#00A9BE","G",7
"Baltidrilus.costatus","#00A9BE","G",7
"Rangia.cuneata","#00A9BE","G",7
"Ulva.prolifera","#00A9BE","G",7
"Urospora.penicilliformis","#00A9BE","G",7
"Chara.connivens","#00A9BE","G",7
"Rhizoclonium.riparium","#00A9BE","G",7
"Heterotanais.oerstedii","#E16A86","F",6
"Chaetomorpha.linum","#E16A86","F",6
"Zostera.marina","#E16A86","F",6
"Leathesia.marina","#E16A86","F",6
"Chara.canescens","#E16A86","F",6
"Ruppia.maritima","#E16A86","F",6
"Chara.baltica","#E16A86","F",6
"Myriophyllum.spicatum","#E16A86","F",6
"Ruppia.cirrhosa","#E16A86","F",6
"Stuckenia.pectinata","#E16A86","F",6
"Zannichellia.palustris","#E16A86","F",6
"Zannichellia.major","#E16A86","F",6
"Monostroma.balticum","#E16A86","F",6
"Chorda.filum","#E16A86","F",6
"Fucus.vesiculosus.radicans","#E16A86","F",6
"Chara.horrida","#6C8EE6","E",5
"Ranunculus.peltatus.peltatus","#6C8EE6","E",5
"Ceratophyllum.demersum","#6C8EE6","E",5
"Schoenoplectus.lacustris","#6C8EE6","E",5
"Bolboschoenus.maritimus","#6C8EE6","E",5
"Lemna.minor","#6C8EE6","E",5
"Juncus.gerardii","#6C8EE6","E",5
"Triglochin.maritima","#6C8EE6","E",5
"Eleocharis.parvula","#6C8EE6","E",5
"Eleocharis.uniglumis","#6C8EE6","E",5
"Mysis.mixta","#D169D0","D",4
"Mysis.relicta","#D169D0","D",4
"Pontoporeia.femorata","#D169D0","D",4
"Monoporeia.affinis","#D169D0","D",4
"Saduria.entomon","#D169D0","D",4
"Rhodochorton.purpureum","#799D00","C",3
"Eudesme.virescens","#799D00","C",3
"Gaillona.rosea","#799D00","C",3
"Dictyosiphon.foeniculaceus","#799D00","C",3
"Ecrobia.ventrosa","#799D00","C",3
"Gammarus.oceanicus","#799D00","C",3
"Theodoxus.fluviatilis","#799D00","C",3
"Cyanophthalma.obscura","#799D00","C",3
"Neomysis.integer","#799D00","C",3
"Gammarus.tigrinus","#799D00","C",3
"Cladophora.rupestris","#799D00","C",3
"Elachista.fucicola","#799D00","C",3
"Diastylis.rathkei","#00AB6E","B",2
"Micrura.baltica","#00AB6E","B",2
"Marenzelleria","#00AB6E","B",2
"Bylgides.sarsi","#00AB6E","B",2
"Halicryptus.spinulosus","#00AB6E","B",2
"Limecola.balthica","#00AB6E","B",2
"Rhodomela.confervoides","#00AB6E","B",2
"Corophium.multisetosum","#00AB6E","B",2
"Einhornia.crustulenta","#00AB6E","B",2
"Battersia.arctica","#00AB6E","B",2
"Ampithoe.rubricata","#00AB6E","B",2
"Coccotylus.Phyllophora","#00AB6E","B",2
"Mytilus","#00AB6E","B",2
"Pygospio.elegans","#00AB6E","B",2
"Ceramium.diaphanum","#C18500","A",1
"Fabricia.stellaris","#C18500","A",1
"Streblospio.shrubsolii","#C18500","A",1
"Bathyporeia.pilosa","#C18500","A",1
"Gammarus.salinus","#C18500","A",1
"Jaera.albifrons","#C18500","A",1
"Peringia.ulvae","#C18500","A",1
"Amphibalanus.improvisus","#C18500","A",1
"Cerastoderma.glaucum","#C18500","A",1
"Mya.arenaria","#C18500","A",1
"Corophium.volutator","#C18500","A",1
"Hediste.diversicolor","#C18500","A",1
"Vertebrata.fucoides","#C18500","A",1
"Ceramium.tenuicorne","#C18500","A",1
"Ectocarpus.Pylaiella","#C18500","A",1
"Furcellaria.lumbricalis","#C18500","A",1
"Gammarus.zaddachi","#C18500","A",1
