"species","colour","cluster","cluster_int"
"Ampithoe.rubricata","#9183E6","D",4
"Einhornia.crustulenta","#9183E6","D",4
"Rhodochorton.purpureum","#9183E6","D",4
"Furcellaria.lumbricalis","#9183E6","D",4
"Gaillona.rosea","#9183E6","D",4
"Neomysis.integer","#9183E6","D",4
"Cladophora.rupestris","#9183E6","D",4
"Vertebrata.fucoides","#9183E6","D",4
"Ceramium.tenuicorne","#9183E6","D",4
"Ectocarpus.Pylaiella","#9183E6","D",4
"Mya.arenaria","#9183E6","D",4
"Cerastoderma.glaucum","#9183E6","D",4
"Hediste.diversicolor","#9183E6","D",4
"Gammarus.oceanicus","#9183E6","D",4
"Theodoxus.fluviatilis","#9183E6","D",4
"Ecrobia.ventrosa","#9183E6","D",4
"Peringia.ulvae","#9183E6","D",4
"Battersia.arctica","#9183E6","D",4
"Limecola.balthica","#9183E6","D",4
"Marenzelleria","#9183E6","D",4
"Corophium.volutator","#9183E6","D",4
"Cyanophthalma.obscura","#9183E6","D",4
"Gammarus.zaddachi","#9183E6","D",4
"Bathyporeia.pilosa","#9183E6","D",4
"Amphibalanus.improvisus","#9183E6","D",4
"Gammarus.salinus","#9183E6","D",4
"Jaera.albifrons","#9183E6","D",4
"Alisma.wahlenbergii","#00AD9A","C",3
"Eleocharis.mamillata","#00AD9A","C",3
"Cicuta.virosa","#00AD9A","C",3
"Eleocharis.parvula","#00AD9A","C",3
"Chara.virgata","#00AD9A","C",3
"Potamogeton.berchtoldii","#00AD9A","C",3
"Equisetum.fluviatile","#00AD9A","C",3
"Potamogeton.friesii","#00AD9A","C",3
"Callitriche.palustris","#00AD9A","C",3
"Elatine.hydropiper","#00AD9A","C",3
"Caltha.palustris","#00AD9A","C",3
"Ranunculus.reptans","#00AD9A","C",3
"Potamogeton.gramineus","#00AD9A","C",3
"Callitriche.hermaphroditica","#00AD9A","C",3
"Myriophyllum.alterniflorum","#00AD9A","C",3
"Eleocharis.uniglumis","#00AD9A","C",3
"Eleocharis.palustris","#00AD9A","C",3
"Limosella.aquatica","#00AD9A","C",3
"Potamogeton.pusillus","#00AD9A","C",3
"Eleocharis.acicularis","#00AD9A","C",3
"Subularia.aquatica","#00AD9A","C",3
"Zannichellia.major","#909800","B",2
"Chorda.filum","#909800","B",2
"Eudesme.virescens","#909800","B",2
"Fucus.vesiculosus.radicans","#909800","B",2
"Stictyosiphon.tortilis","#909800","B",2
"Dictyosiphon.foeniculaceus","#909800","B",2
"Elachista.fucicola","#909800","B",2
"Ulva.prolifera","#909800","B",2
"Urospora.penicilliformis","#909800","B",2
"Chara.connivens","#909800","B",2
"Rhizoclonium.riparium","#909800","B",2
"Dreissena.polymorpha","#909800","B",2
"Chaetomorpha.linum","#909800","B",2
"Ruppia.cirrhosa","#909800","B",2
"Ruppia.maritima","#909800","B",2
"Chara.baltica","#909800","B",2
"Chara.canescens","#909800","B",2
"Gammarus.tigrinus","#909800","B",2
"Myriophyllum.spicatum","#909800","B",2
"Stuckenia.pectinata","#909800","B",2
