"species","colour","cluster","cluster_int","cluster_name"
"Elachista.fucicola","#E16A86","F",6,"Zone1_F"
"Stictyosiphon.tortilis","#E16A86","F",6,"Zone1_F"
"Zannichellia.major","#E16A86","F",6,"Zone1_F"
"Chorda.filum","#E16A86","F",6,"Zone1_F"
"Eudesme.virescens","#E16A86","F",6,"Zone1_F"
"Dictyosiphon.foeniculaceus","#E16A86","F",6,"Zone1_F"
"Fucus.vesiculosus.radicans","#E16A86","F",6,"Zone1_F"
"Corophium.multisetosum","#E16A86","F",6,"Zone1_F"
"Rhodochorton.purpureum","#E16A86","F",6,"Zone1_F"
"Cladophora.rupestris","#E16A86","F",6,"Zone1_F"
"Vertebrata.fucoides","#E16A86","F",6,"Zone1_F"
"Ceramium.tenuicorne","#E16A86","F",6,"Zone1_F"
"Ectocarpus.Pylaiella","#E16A86","F",6,"Zone1_F"
"Coccotylus.Phyllophora","#E16A86","F",6,"Zone1_F"
"Furcellaria.lumbricalis","#E16A86","F",6,"Zone1_F"
"Gaillona.rosea","#E16A86","F",6,"Zone1_F"
"Einhornia.crustulenta","#E16A86","F",6,"Zone1_F"
"Ampithoe.rubricata","#E16A86","F",6,"Zone1_F"
"Mytilus","#E16A86","F",6,"Zone1_F"
"Neomysis.integer","#E16A86","F",6,"Zone1_F"
"Pygospio.elegans","#E16A86","F",6,"Zone1_F"
"Peringia.ulvae","#E16A86","F",6,"Zone1_F"
"Ecrobia.ventrosa","#E16A86","F",6,"Zone1_F"
"Gammarus.oceanicus","#E16A86","F",6,"Zone1_F"
"Theodoxus.fluviatilis","#E16A86","F",6,"Zone1_F"
"Amphibalanus.improvisus","#E16A86","F",6,"Zone1_F"
"Mya.arenaria","#E16A86","F",6,"Zone1_F"
"Cerastoderma.glaucum","#E16A86","F",6,"Zone1_F"
"Hediste.diversicolor","#E16A86","F",6,"Zone1_F"
"Bathyporeia.pilosa","#E16A86","F",6,"Zone1_F"
"Gammarus.salinus","#E16A86","F",6,"Zone1_F"
"Jaera.albifrons","#E16A86","F",6,"Zone1_F"
"Cyanophthalma.obscura","#E16A86","F",6,"Zone1_F"
"Corophium.volutator","#E16A86","F",6,"Zone1_F"
"Gammarus.zaddachi","#E16A86","F",6,"Zone1_F"
"Battersia.arctica","#E16A86","F",6,"Zone1_F"
"Limecola.balthica","#E16A86","F",6,"Zone1_F"
"Marenzelleria","#E16A86","F",6,"Zone1_F"
"Rangia.cuneata","#C86DD7","E",5,"Zone1_E"
"Chara.aspera","#C86DD7","E",5,"Zone1_E"
"Potamogeton.perfoliatus","#C86DD7","E",5,"Zone1_E"
"Vaucheria","#C86DD7","E",5,"Zone1_E"
"Ranunculus.peltatus.peltatus","#C86DD7","E",5,"Zone1_E"
"Hippuris.vulgaris","#C86DD7","E",5,"Zone1_E"
"Schoenoplectus.tabernaemontani","#C86DD7","E",5,"Zone1_E"
"Lemna.trisulca","#C86DD7","E",5,"Zone1_E"
"Myriophyllum.sibiricum","#C86DD7","E",5,"Zone1_E"
"Chara.tomentosa","#C86DD7","E",5,"Zone1_E"
"Najas.marina","#C86DD7","E",5,"Zone1_E"
"Bolboschoenus.maritimus","#C86DD7","E",5,"Zone1_E"
"Ceratophyllum.demersum","#C86DD7","E",5,"Zone1_E"
"Phragmites.australis","#C86DD7","E",5,"Zone1_E"
"Ulva.prolifera","#00AD9A","D",4,"Zone1_D"
"Chara.connivens","#00AD9A","D",4,"Zone1_D"
"Rhizoclonium.riparium","#00AD9A","D",4,"Zone1_D"
"Leathesia.marina","#00AD9A","D",4,"Zone1_D"
"Urospora.penicilliformis","#00AD9A","D",4,"Zone1_D"
"Gammarus.tigrinus","#00AD9A","D",4,"Zone1_D"
"Ruppia.maritima","#00AD9A","D",4,"Zone1_D"
"Chara.baltica","#00AD9A","D",4,"Zone1_D"
"Chara.canescens","#00AD9A","D",4,"Zone1_D"
"Zannichellia.palustris","#00AD9A","D",4,"Zone1_D"
"Myriophyllum.spicatum","#00AD9A","D",4,"Zone1_D"
"Stuckenia.pectinata","#00AD9A","D",4,"Zone1_D"
