"cluster_1","cluster_2","n_species_1","n_species_2","n_shared","pct_of_cluster_1","pct_of_cluster_2","total_pct"
"Zone1_F","Zone2_B",38,19,18,47.4,94.7,46.2
"Zone2_C","Zone3_B",11,8,6,54.5,75,46.2
"Zone1_F","Zone2_E",38,16,13,34.2,81.2,31.7
"Zone1_B","Zone2_C",6,11,4,66.7,36.4,30.8
"Zone1_D","Zone2_F",15,15,7,46.7,46.7,30.4
"Zone1_F","Zone3_E",38,32,12,31.6,37.5,20.7
"Zone1_B","Zone3_B",6,8,2,33.3,25,16.7
"Zone2_F","Zone3_A",15,43,8,53.3,18.6,16
"Zone2_B","Zone3_E",19,32,7,36.8,21.9,15.9
"Zone2_D","Zone3_E",22,32,6,27.3,18.8,12.5
"Zone2_A","Zone3_E",8,32,4,50,12.5,11.1
"Zone2_E","Zone3_E",16,32,4,25,12.5,9.1
"Zone1_D","Zone2_D",15,22,3,20,13.6,8.8
"Zone2_D","Zone3_A",22,43,5,22.7,11.6,8.3
"Zone2_A","Zone3_F",8,31,3,37.5,9.7,8.3
"Zone1_A","Zone3_A",49,43,7,14.3,16.3,8.2
"Zone1_B","Zone2_D",6,22,2,33.3,9.1,7.7
"Zone1_A","Zone2_D",49,22,5,10.2,22.7,7.6
"Zone1_D","Zone3_A",15,43,4,26.7,9.3,7.4
"Zone1_D","Zone2_E",15,16,2,13.3,12.5,6.9
"Zone2_E","Zone3_F",16,31,3,18.8,9.7,6.8
"Zone1_A","Zone2_F",49,15,4,8.2,26.7,6.7
"Zone1_F","Zone2_C",38,11,3,7.9,27.3,6.5
"Zone2_B","Zone3_F",19,31,3,15.8,9.7,6.4
"Zone1_F","Zone3_F",38,31,4,10.5,12.9,6.2
"Zone2_D","Zone3_D",22,19,2,9.1,10.5,5.1
"Zone1_D","Zone3_E",15,32,2,13.3,6.2,4.4
"Zone2_F","Zone3_E",15,32,2,13.3,6.2,4.4
"Zone1_F","Zone2_F",38,15,2,5.3,13.3,3.9
"Zone1_E","Zone2_F",14,15,1,7.1,6.7,3.6
"Zone1_E","Zone2_D",14,22,1,7.1,4.5,2.9
"Zone2_E","Zone3_H",16,26,1,6.2,3.8,2.4
"Zone2_C","Zone3_E",11,32,1,9.1,3.1,2.4
"Zone1_F","Zone3_B",38,8,1,2.6,12.5,2.2
"Zone1_D","Zone3_F",15,31,1,6.7,3.2,2.2
"Zone1_D","Zone3_C",15,36,1,6.7,2.8,2
"Zone2_E","Zone3_C",16,36,1,6.2,2.8,2
"Zone2_A","Zone3_A",8,43,1,12.5,2.3,2
"Zone2_D","Zone3_F",22,31,1,4.5,3.2,1.9
"Zone2_D","Zone3_C",22,36,1,4.5,2.8,1.8
"Zone1_F","Zone3_H",38,26,1,2.6,3.8,1.6
"Zone2_D","Zone3_G",22,54,1,4.5,1.9,1.3
"Zone1_F","Zone3_A",38,43,1,2.6,2.3,1.2
"Zone1_A","Zone3_E",49,32,1,2,3.1,1.2
"Zone1_A","Zone3_G",49,54,1,2,1.9,1
"Zone1_F","Zone1_E",38,14,0,0,0,0
"Zone1_F","Zone1_D",38,15,0,0,0,0
"Zone1_F","Zone1_C",38,15,0,0,0,0
"Zone1_F","Zone1_B",38,6,0,0,0,0
"Zone1_F","Zone1_A",38,49,0,0,0,0
"Zone1_F","Zone2_D",38,22,0,0,0,0
"Zone1_F","Zone2_A",38,8,0,0,0,0
"Zone1_F","Zone3_J",38,37,0,0,0,0
"Zone1_F","Zone3_I",38,23,0,0,0,0
"Zone1_F","Zone3_G",38,54,0,0,0,0
"Zone1_F","Zone3_D",38,19,0,0,0,0
"Zone1_F","Zone3_C",38,36,0,0,0,0
"Zone1_E","Zone1_D",14,15,0,0,0,0
"Zone1_E","Zone1_C",14,15,0,0,0,0
"Zone1_E","Zone1_B",14,6,0,0,0,0
"Zone1_E","Zone1_A",14,49,0,0,0,0
"Zone1_E","Zone2_E",14,16,0,0,0,0
"Zone1_E","Zone2_C",14,11,0,0,0,0
"Zone1_E","Zone2_B",14,19,0,0,0,0
"Zone1_E","Zone2_A",14,8,0,0,0,0
"Zone1_E","Zone3_J",14,37,0,0,0,0
"Zone1_E","Zone3_I",14,23,0,0,0,0
"Zone1_E","Zone3_H",14,26,0,0,0,0
"Zone1_E","Zone3_G",14,54,0,0,0,0
"Zone1_E","Zone3_F",14,31,0,0,0,0
"Zone1_E","Zone3_E",14,32,0,0,0,0
"Zone1_E","Zone3_D",14,19,0,0,0,0
"Zone1_E","Zone3_C",14,36,0,0,0,0
"Zone1_E","Zone3_B",14,8,0,0,0,0
"Zone1_E","Zone3_A",14,43,0,0,0,0
"Zone1_D","Zone1_C",15,15,0,0,0,0
"Zone1_D","Zone1_B",15,6,0,0,0,0
"Zone1_D","Zone1_A",15,49,0,0,0,0
"Zone1_D","Zone2_C",15,11,0,0,0,0
"Zone1_D","Zone2_B",15,19,0,0,0,0
"Zone1_D","Zone2_A",15,8,0,0,0,0
"Zone1_D","Zone3_J",15,37,0,0,0,0
"Zone1_D","Zone3_I",15,23,0,0,0,0
"Zone1_D","Zone3_H",15,26,0,0,0,0
"Zone1_D","Zone3_G",15,54,0,0,0,0
"Zone1_D","Zone3_D",15,19,0,0,0,0
"Zone1_D","Zone3_B",15,8,0,0,0,0
"Zone1_C","Zone1_B",15,6,0,0,0,0
"Zone1_C","Zone1_A",15,49,0,0,0,0
"Zone1_C","Zone2_F",15,15,0,0,0,0
"Zone1_C","Zone2_E",15,16,0,0,0,0
"Zone1_C","Zone2_D",15,22,0,0,0,0
"Zone1_C","Zone2_C",15,11,0,0,0,0
"Zone1_C","Zone2_B",15,19,0,0,0,0
"Zone1_C","Zone2_A",15,8,0,0,0,0
"Zone1_C","Zone3_J",15,37,0,0,0,0
"Zone1_C","Zone3_I",15,23,0,0,0,0
"Zone1_C","Zone3_H",15,26,0,0,0,0
"Zone1_C","Zone3_G",15,54,0,0,0,0
"Zone1_C","Zone3_F",15,31,0,0,0,0
"Zone1_C","Zone3_E",15,32,0,0,0,0
"Zone1_C","Zone3_D",15,19,0,0,0,0
"Zone1_C","Zone3_C",15,36,0,0,0,0
"Zone1_C","Zone3_B",15,8,0,0,0,0
"Zone1_C","Zone3_A",15,43,0,0,0,0
"Zone1_B","Zone1_A",6,49,0,0,0,0
"Zone1_B","Zone2_F",6,15,0,0,0,0
"Zone1_B","Zone2_E",6,16,0,0,0,0
"Zone1_B","Zone2_B",6,19,0,0,0,0
"Zone1_B","Zone2_A",6,8,0,0,0,0
"Zone1_B","Zone3_J",6,37,0,0,0,0
"Zone1_B","Zone3_I",6,23,0,0,0,0
"Zone1_B","Zone3_H",6,26,0,0,0,0
"Zone1_B","Zone3_G",6,54,0,0,0,0
"Zone1_B","Zone3_F",6,31,0,0,0,0
"Zone1_B","Zone3_E",6,32,0,0,0,0
"Zone1_B","Zone3_D",6,19,0,0,0,0
"Zone1_B","Zone3_C",6,36,0,0,0,0
"Zone1_B","Zone3_A",6,43,0,0,0,0
"Zone1_A","Zone2_E",49,16,0,0,0,0
"Zone1_A","Zone2_C",49,11,0,0,0,0
"Zone1_A","Zone2_B",49,19,0,0,0,0
"Zone1_A","Zone2_A",49,8,0,0,0,0
"Zone1_A","Zone3_J",49,37,0,0,0,0
"Zone1_A","Zone3_I",49,23,0,0,0,0
"Zone1_A","Zone3_H",49,26,0,0,0,0
