"species","colour","cluster","cluster_int"
"Alitta.succinea","#00AD9A","D",4
"Tubificoides.benedii","#00AD9A","D",4
"Polyides.rotunda","#00AD9A","D",4
"Streblospio.shrubsolii","#00AD9A","D",4
"Vertebrata.fucoides","#00AD9A","D",4
"Baltidrilus.costatus","#00AD9A","D",4
"Neomysis.integer","#00AD9A","D",4
"Jaera.albifrons","#00AD9A","D",4
"Cerastoderma.glaucum","#00AD9A","D",4
"Hediste.diversicolor","#00AD9A","D",4
"Mya.arenaria","#00AD9A","D",4
"Peringia.ulvae","#00AD9A","D",4
"Bathyporeia.pilosa","#00AD9A","D",4
"Amphibalanus.improvisus","#00AD9A","D",4
"Corophium.volutator","#00AD9A","D",4
"Gammarus.salinus","#00AD9A","D",4
"Ceramium.diaphanum","#00AD9A","D",4
"Desmarestia.viridis","#00AD9A","D",4
"Coccotylus.Phyllophora","#00AD9A","D",4
"Einhornia.crustulenta","#00AD9A","D",4
"Rhodomela.confervoides","#00AD9A","D",4
"Corophium.multisetosum","#00AD9A","D",4
"Fabricia.stellaris","#00AD9A","D",4
"Aglaothamnion.tenuissimum","#00AD9A","D",4
"Ampithoe.rubricata","#00AD9A","D",4
"Mytilus","#909800","C",3
"Marenzelleria","#909800","C",3
"Limecola.balthica","#909800","C",3
"Pygospio.elegans","#909800","C",3
"Pontoporeia.femorata","#909800","C",3
"Saduria.entomon","#909800","C",3
"Diastylis.rathkei","#909800","C",3
"Bylgides.sarsi","#909800","C",3
"Halicryptus.spinulosus","#909800","C",3
"Ampharete.acutifrons","#909800","C",3
"Micrura.baltica","#909800","C",3
"Ceramium.virgatum","#9183E6","B",2
"Cladophora.sericea","#9183E6","B",2
"Dumontia.contorta","#9183E6","B",2
"Heterotanais.oerstedii","#9183E6","B",2
"Tubificoides.pseudogaster","#9183E6","B",2
"Ruppia.maritima","#9183E6","B",2
"Scytosiphon.lomentaria","#9183E6","B",2
"Chaetomorpha.linum","#9183E6","B",2
"Ruppia.cirrhosa","#9183E6","B",2
"Zostera.marina","#9183E6","B",2
"Apherusa.bispinosa","#E16A86","A",1
"Callopora.lineata","#E16A86","A",1
"Alkmaria.romijni","#E16A86","A",1
"Metridium.senile","#E16A86","A",1
"Aricidea.cerrutii","#E16A86","A",1
"Priapulus.caudatus","#E16A86","A",1
"Diastyloides.biplicatus","#E16A86","A",1
"Opercularella.lacerata","#E16A86","A",1
"Astarte.elliptica","#E16A86","A",1
"Lagis.koreni","#E16A86","A",1
"Mya.truncata","#E16A86","A",1
"Terebellides.stroemii","#E16A86","A",1
