"species","colour","cluster","cluster_int"
"Plagiospora.gracilis","#6F9F00","J",10
"Dosinia.exoleta","#6F9F00","J",10
"Notomastus.latericeus","#6F9F00","J",10
"Cylichna.cylindracea","#6F9F00","J",10
"Turritella.communis","#6F9F00","J",10
"Owenia.fusiformis","#6F9F00","J",10
"Polycirrus.norvegicus","#6F9F00","J",10
"Edwardsia.longicornis","#6F9F00","J",10
"Mysia.undata","#6F9F00","J",10
"Magelona.alleni","#6F9F00","J",10
"Pholoe.baltica","#6F9F00","J",10
"Chaetozone.setosa","#6F9F00","J",10
"Goniada.maculata","#6F9F00","J",10
"Scalibregma.inflatum","#6F9F00","J",10
"Tharyx.killariensis","#6F9F00","J",10
"Phoronis.muelleri","#6F9F00","J",10
"Galathowenia.oculata","#6F9F00","J",10
"Prionospio.fallax","#6F9F00","J",10
"Phyllodoce.rosea","#6F9F00","J",10
"Amphiura.filiformis","#6F9F00","J",10
"Eumida.bahusiensis","#6F9F00","J",10
"Glycera.alba","#6F9F00","J",10
"Nucula.nitidosa","#6F9F00","J",10
"Thyasira.flexuosa","#6F9F00","J",10
"Abyssoninoe.hibernica","#6F9F00","J",10
"Oxydromus.flexuosus","#6F9F00","J",10
"Glycera.unicornis","#6F9F00","J",10
"Abra.nitida","#6F9F00","J",10
"Ennucula.tenuis","#6F9F00","J",10
"Chalinula.limbata","#6F9F00","J",10
"Eudorella.truncatula","#6F9F00","J",10
"Levinsenia.gracilis","#6F9F00","J",10
"Paradoneis.eliasoni","#6F9F00","J",10
"Praxillella.praetermissa","#6F9F00","J",10
"Rhodine.gracilior","#6F9F00","J",10
"Chaetoderma.nitidulum","#6F9F00","J",10
"Maldane.sarsi","#6F9F00","J",10
"Sphaerodorum.gracilis","#CE7D3B","I",9
"Brada.villosa","#CE7D3B","I",9
"Virgularia.mirabilis","#CE7D3B","I",9
"Labidoplax.buskii","#CE7D3B","I",9
"Polyphysia.crassa","#CE7D3B","I",9
"Acanthocardia.echinata","#CE7D3B","I",9
"Harpinia.antennaria","#CE7D3B","I",9
"Trichobranchus.roseus","#CE7D3B","I",9
"Westwoodilla.caecula","#CE7D3B","I",9
"Glycinde.nordmanni","#CE7D3B","I",9
"Golfingia.vulgaris","#CE7D3B","I",9
"Diastylis.laevis","#CE7D3B","I",9
"Ampelisca.diadema","#CE7D3B","I",9
"Praxillella.affinis","#CE7D3B","I",9
"Polycirrus.plumosus","#CE7D3B","I",9
"Rhodine.loveni","#CE7D3B","I",9
"Eudorella.emarginata","#CE7D3B","I",9
"Prionospio.multibranchiat","#CE7D3B","I",9
"Brissopsis.lyrifera","#CE7D3B","I",9
"Tellimya.tenella","#CE7D3B","I",9
"Magelona.minuta","#CE7D3B","I",9
"Anobothrus.gracilis","#CE7D3B","I",9
"Pectinaria.belgica","#CE7D3B","I",9
"Filellum.serpens","#B675E0","H",8
"Poecilochaetus.serpens","#B675E0","H",8
"Thracia.phaseolina","#B675E0","H",8
"Perioculodes.longimanus","#B675E0","H",8
"Echinocardium.cordatum","#B675E0","H",8
"Tellimya.ferruginosa","#B675E0","H",8
"Ampelisca.brevicornis","#B675E0","H",8
"Chamelea.gallina","#B675E0","H",8
"Rubrointrusa.membranacea","#B675E0","H",8
"Peyssonnelia.dubyi","#B675E0","H",8
"Colaconema.daviesii","#B675E0","H",8
"Colaconema.pectinatum","#B675E0","H",8
"Odonthalia.dentata","#B675E0","H",8
"Palmaria.palmata","#B675E0","H",8
"Gattyana.cirrhosa","#B675E0","H",8
"Cruoria.pellita","#B675E0","H",8
"Lithothamnion.glaciale","#B675E0","H",8
"Scagelothamnion.pusillum","#B675E0","H",8
"Erythrotrichia.carnea","#B675E0","H",8
"Sphaceloderma.caespitulum","#B675E0","H",8
"Colaconema.nemalionis","#B675E0","H",8
"Rhodochorton.purpureum","#B675E0","H",8
"Polycirrus.medusa","#B675E0","H",8
"Tubulanus.polymorphus","#B675E0","H",8
"Echinocyamus.pusillus","#B675E0","H",8
"Eucratea.loricata","#B675E0","H",8
"Phyllophora.crispa","#E16A86","G",7
"Ascidiella.aspersa","#E16A86","G",7
"Erythrodermis.traillii","#E16A86","G",7
"Upogebia.deltaura","#E16A86","G",7
"Bonnemaisonia.asparagoides","#E16A86","G",7
"Rhodophyllis.divaricata","#E16A86","G",7
"Callithamnion.tetragonum","#E16A86","G",7
"Sargassum.muticum","#E16A86","G",7
"Pterothamnion.plumula","#E16A86","G",7
"Derbesia.marina","#E16A86","G",7
"Ptilota.gunneri","#E16A86","G",7
"Asperococcus.bullosus","#E16A86","G",7
"Dilsea.carnosa","#E16A86","G",7
"Heterosiphonia.plumosa","#E16A86","G",7
"Modiolus.modiolus","#E16A86","G",7
"Paraonis.fulgens","#E16A86","G",7
"Spio.armata","#E16A86","G",7
"Branchiostoma.lanceolatum","#E16A86","G",7
"Pisione.remota","#E16A86","G",7
"Melobesia.membranacea","#E16A86","G",7
"Tanaissus.lilljeborgi","#E16A86","G",7
"Halidrys.siliquosa","#E16A86","G",7
"Lomentaria.clavellosa","#E16A86","G",7
"Dasysiphonia.japonica","#E16A86","G",7
"Laminaria.hyperborea","#E16A86","G",7
"Bathyporeia.guilliamsonia","#E16A86","G",7
"Fabulina.fabula","#E16A86","G",7
"Spiophanes.bombyx","#E16A86","G",7
"Lamprops.fasciatus","#E16A86","G",7
"Nephtys.longosetosa","#E16A86","G",7
