"species","colour","cluster","cluster_int"
"Heterotanais.oerstedii","#E16A86","E",5
"Ruppia.cirrhosa","#E16A86","E",5
"Zannichellia.palustris","#E16A86","E",5
"Myriophyllum.spicatum","#E16A86","E",5
"Chara.baltica","#E16A86","E",5
"Stuckenia.pectinata","#E16A86","E",5
"Monostroma.balticum","#E16A86","E",5
"Chorda.filum","#E16A86","E",5
"Fucus.vesiculosus.radicans","#E16A86","E",5
"Zannichellia.major","#E16A86","E",5
"Juncus.gerardii","#E16A86","E",5
"Triglochin.maritima","#E16A86","E",5
"Bolboschoenus.maritimus","#E16A86","E",5
"Lemna.minor","#E16A86","E",5
"Chara.canescens","#E16A86","E",5
"Ruppia.maritima","#E16A86","E",5
"Eleocharis.parvula","#E16A86","E",5
"Eleocharis.uniglumis","#E16A86","E",5
"Ceratophyllum.demersum","#00AA5A","D",4
"Schoenoplectus.lacustris","#00AA5A","D",4
"Chara.horrida","#00AA5A","D",4
"Chara.tomentosa","#00AA5A","D",4
"Apherusa.bispinosa","#00AA5A","D",4
"Ascidiella.aspersa","#00AA5A","D",4
"Cerastoderma.edule","#00AA5A","D",4
"Lamprops.fasciatus","#00AA5A","D",4
"Stictyosiphon.tortilis","#00AA5A","D",4
"Ericthonius.brasiliensis","#00AA5A","D",4
"Scytosiphon.lomentaria","#00AA5A","D",4
"Aglaothamnion.tenuissimum","#00AA5A","D",4
"Desmarestia.viridis","#00AA5A","D",4
"Ceramium.diaphanum","#00AA5A","D",4
"Fabricia.stellaris","#00AA5A","D",4
"Streblospio.shrubsolii","#00AA5A","D",4
"Ulva.prolifera","#00AA5A","D",4
"Chara.connivens","#00AA5A","D",4
"Rhizoclonium.riparium","#00AA5A","D",4
"Cladophora.sericea","#00AA5A","D",4
"Baltidrilus.costatus","#00AA5A","D",4
"Rangia.cuneata","#00AA5A","D",4
"Chaetomorpha.linum","#00AA5A","D",4
"Zostera.marina","#00AA5A","D",4
"Leathesia.marina","#00AA5A","D",4
"Polyides.rotunda","#00AA5A","D",4
"Diastylis.rathkei","#00A6CA","C",3
"Ampharete.acutifrons","#00A6CA","C",3
"Micrura.baltica","#00A6CA","C",3
"Mysis.mixta","#00A6CA","C",3
"Mysis.relicta","#00A6CA","C",3
"Pontoporeia.femorata","#00A6CA","C",3
"Monoporeia.affinis","#00A6CA","C",3
"Saduria.entomon","#00A6CA","C",3
"Marenzelleria","#00A6CA","C",3
"Bylgides.sarsi","#00A6CA","C",3
"Halicryptus.spinulosus","#00A6CA","C",3
"Amphibalanus.improvisus","#AA9000","B",2
"Bathyporeia.pilosa","#AA9000","B",2
"Gammarus.salinus","#AA9000","B",2
"Jaera.albifrons","#AA9000","B",2
"Peringia.ulvae","#AA9000","B",2
"Cerastoderma.glaucum","#AA9000","B",2
"Mya.arenaria","#AA9000","B",2
"Corophium.volutator","#AA9000","B",2
"Hediste.diversicolor","#AA9000","B",2
"Rhodomela.confervoides","#AA9000","B",2
"Corophium.multisetosum","#AA9000","B",2
"Einhornia.crustulenta","#AA9000","B",2
"Ampithoe.rubricata","#AA9000","B",2
"Coccotylus.Phyllophora","#AA9000","B",2
"Mytilus","#AA9000","B",2
"Limecola.balthica","#AA9000","B",2
"Pygospio.elegans","#AA9000","B",2
"Dictyosiphon.foeniculaceus","#B675E0","A",1
"Cladophora.rupestris","#B675E0","A",1
"Elachista.fucicola","#B675E0","A",1
"Gammarus.tigrinus","#B675E0","A",1
"Ecrobia.ventrosa","#B675E0","A",1
"Gammarus.oceanicus","#B675E0","A",1
"Theodoxus.fluviatilis","#B675E0","A",1
"Cyanophthalma.obscura","#B675E0","A",1
"Neomysis.integer","#B675E0","A",1
"Ectocarpus.Pylaiella","#B675E0","A",1
"Ceramium.tenuicorne","#B675E0","A",1
"Vertebrata.fucoides","#B675E0","A",1
"Battersia.arctica","#B675E0","A",1
"Furcellaria.lumbricalis","#B675E0","A",1
"Gammarus.zaddachi","#B675E0","A",1
"Rhodochorton.purpureum","#B675E0","A",1
"Eudesme.virescens","#B675E0","A",1
"Gaillona.rosea","#B675E0","A",1
