"species","colour","cluster","cluster_int"
"Heteromastus.filiformis","#C071DC","K",11
"Gammarus.tigrinus","#C071DC","K",11
"Gattyana.cirrhosa","#C071DC","K",11
"Levinsenia.gracilis","#C071DC","K",11
"Scalibregma.inflatum","#C071DC","K",11
"Terebellides.stroemii","#C071DC","K",11
"Kurtiella.bidentata","#C071DC","K",11
"Phaxas.pellucidus","#C071DC","K",11
"Ampelisca.macrocephala","#C071DC","K",11
"Paradoneis.eliasoni","#C071DC","K",11
"Abyssoninoe.hibernica","#C071DC","K",11
"Oxydromus.flexuosus","#C071DC","K",11
"Glycera.unicornis","#C071DC","K",11
"Abra.nitida","#C071DC","K",11
"Ennucula.tenuis","#C071DC","K",11
"Eudorella.truncatula","#C071DC","K",11
"Praxillella.praetermissa","#C071DC","K",11
"Rhodine.gracilior","#C071DC","K",11
"Chaetoderma.nitidulum","#C071DC","K",11
"Maldane.sarsi","#C071DC","K",11
"Phoronis.muelleri","#C071DC","K",11
"Galathowenia.oculata","#C071DC","K",11
"Prionospio.fallax","#C071DC","K",11
"Phyllodoce.rosea","#C071DC","K",11
"Amphiura.filiformis","#C071DC","K",11
"Eumida.bahusiensis","#C071DC","K",11
"Glycera.alba","#C071DC","K",11
"Nucula.nitidosa","#C071DC","K",11
"Thyasira.flexuosa","#C071DC","K",11
"Edwardsia.longicornis","#C071DC","K",11
"Magelona.alleni","#C071DC","K",11
"Mysia.undata","#C071DC","K",11
"Pholoe.baltica","#C071DC","K",11
"Chaetozone.setosa","#C071DC","K",11
"Goniada.maculata","#C071DC","K",11
"Diastylis.laevis","#C071DC","K",11
"Owenia.fusiformis","#C071DC","K",11
"Notomastus.latericeus","#C071DC","K",11
"Cylichna.cylindracea","#C071DC","K",11
"Turritella.communis","#C071DC","K",11
"Dosinia.exoleta","#C071DC","K",11
"Polycirrus.norvegicus","#C071DC","K",11
"Sphaerodorum.gracilis","#B28D00","J",10
"Brada.villosa","#B28D00","J",10
"Virgularia.mirabilis","#B28D00","J",10
"Priapulus.caudatus","#B28D00","J",10
"Protomedeia.fasciata","#B28D00","J",10
"Artacama.proboscidea","#B28D00","J",10
"Apistobranchus.tullbergi","#B28D00","J",10
"Crenella.decussata","#B28D00","J",10
"Trichobranchus.roseus","#B28D00","J",10
"Westwoodilla.caecula","#B28D00","J",10
"Glycinde.nordmanni","#B28D00","J",10
"Golfingia.vulgaris","#B28D00","J",10
"Prionospio.multibranchiat","#B28D00","J",10
"Rhodine.loveni","#B28D00","J",10
"Magelona.minuta","#B28D00","J",10
"Anobothrus.gracilis","#B28D00","J",10
"Pectinaria.belgica","#B28D00","J",10
"Ampelisca.diadema","#B28D00","J",10
"Harpinia.antennaria","#B28D00","J",10
"Acanthocardia.echinata","#B28D00","J",10
"Labidoplax.buskii","#B28D00","J",10
"Polyphysia.crassa","#B28D00","J",10
"Colaconema.daviesii","#829C00","I",9
"Peyssonnelia.dubyi","#829C00","I",9
"Rubrointrusa.membranacea","#829C00","I",9
"Sphaceloderma.caespitulum","#829C00","I",9
"Chalinula.limbata","#829C00","I",9
"Pterothamnion.plumula","#829C00","I",9
"Cruoria.pellita","#829C00","I",9
"Odonthalia.dentata","#829C00","I",9
"Lithothamnion.glaciale","#829C00","I",9
"Scagelothamnion.pusillum","#829C00","I",9
"Bonnemaisonia.hamifera","#829C00","I",9
"Desmarestia.viridis","#829C00","I",9
"Vertebrata.byssoides","#829C00","I",9
"Coccotylus.Phyllophora","#829C00","I",9
"Polysiphonia.stricta","#829C00","I",9
"Delesseria.sanguinea","#829C00","I",9
"Phycodrys.rubens","#829C00","I",9
"Callithamnion.corymbosum","#829C00","I",9
"Sphacelaria.cirrosa","#829C00","I",9
"Chaetomorpha.melagonium","#829C00","I",9
"Polyides.rotunda","#829C00","I",9
"Bryopsis.hypnoides","#829C00","I",9
"Membranoptera.alata","#829C00","I",9
"Rhodomela.confervoides","#829C00","I",9
"Ceramium.virgatum","#829C00","I",9
"Cystoclonium.purpureum","#829C00","I",9
"Leathesia.marina","#829C00","I",9
"Saccharina.latissima","#829C00","I",9
"Callopora.lineata","#829C00","I",9
"Escharella.immersa","#829C00","I",9
"Erythrotrichia.carnea","#829C00","I",9
"Aglaothamnion.tenuissimum","#829C00","I",9
"Rhodochorton.purpureum","#829C00","I",9
"Eucratea.loricata","#829C00","I",9
"Desmarestia.aculeata","#829C00","I",9
"Laminaria.digitata","#829C00","I",9
"Palmaria.palmata","#829C00","I",9
"Derbesia.marina","#829C00","I",9
"Filellum.serpens","#829C00","I",9
"Ruppia.maritima","#00AD7F","H",8
"Ruppia.cirrhosa","#00AD7F","H",8
"Alitta.succinea","#00AD7F","H",8
"Fabricia.stellaris","#00AD7F","H",8
"Platynereis.dumerilii","#00AD7F","H",8
"Scrobicularia.plana","#00AD7F","H",8
"Ulva.lactuca","#00AD7F","H",8
"Chorda.filum","#00AD7F","H",8
"Zostera.marina","#00AD7F","H",8
