"scientific_name","Zone1_A","Zone1_B","Zone1_C","Zone1_D","Zone2_A","Zone2_B","Zone2_C","Zone2_D","Zone2_E","Zone3_A","Zone3_B","Zone3_C","Zone3_D","Zone3_E","Zone3_F","Zone3_G","Zone3_H","Zone4_A","Zone4_B","Zone4_C","Zone4_D","Zone4_E","Zone4_F","Zone4_G","Zone4_H","Zone4_I","Zone4_J","Zone4_K"
"Syngnathus.acus",0,0,0,0,0,0,1.13,0,0.44,9.23,1.36,11.08,0.4,0.53,0.02,11.65,30.86,73.33,25.6,19.9,18.51,2.3,1.52,3.38,8.28,15.95,52.72,41.99
"Syngnathus.rostellatus",0.1,0,0.01,3.37,0.02,0.05,15.71,6.53,20.5,91.34,14.49,96.14,16.64,20.35,8.63,79.65,96.55,99.22,97.64,98.45,96.8,99.99,82.78,42.39,84.77,97.33,100,100
"Taurulus.bubalis",0,0,0,0.32,0,0,4.66,1.32,11.41,42.93,4.23,65.03,20.73,9.94,2.17,9.67,0.77,64.31,69.05,33.33,20.85,2.59,99.07,44.59,34.63,48.98,0.09,6.45
"Tinca.tinca",0.02,0.16,28.39,25.7,24.15,44.43,36.1,0.04,5.09,0,45.73,0,2.42,5.37,0.18,0,0,0,0,0,0,0,0,0.03,1.42,0,0,0
"Trachinus.draco",0,0,0,0,0,0,0.1,0.03,0.07,0.92,0.08,23.41,0.53,0.05,0.45,44.75,96.55,0,89.29,79.04,67.41,75.99,4.69,6.02,2.14,48.85,99.98,98.76
"Trachurus.trachurus",0,0,0,0,0,0,0.12,7.76,5.13,7.96,0.03,36.8,3.18,5.62,9.72,90.22,99.56,0,66.82,63.86,84.76,99.7,21.27,11.66,15.36,59.86,100,98.54
"Trisopterus.esmarkii",0,0,0,0,0,0,0,0.02,0,0,0,1.16,0,0,0.02,16.42,40.6,0,37.13,27.21,25.15,18.19,0,0,0.03,20.17,98.33,77.4
"Trisopterus.minutus",0,0,0,0,0,0,0,1.95,0,0,0,2.67,0.01,0,2.25,31.07,43.65,0,40.9,32.38,30.57,18.18,0,0.14,0.07,25.31,99.99,82.45
"Vimba.vimba",2.53,0.33,40.56,33.48,32.54,47.5,40.69,0.39,10.44,0.01,41.8,0,8.06,11,1.15,0,0,0,0,0,0,0,0,10.02,7.68,0,0,0
"Zoarces.viviparus",16.73,5.22,12.26,47.56,5,23.69,67.82,49.65,67.96,96.72,67.86,88.76,82.9,65.72,49.36,41.22,64.76,100,8.67,19.6,56.82,96.79,99.03,96.4,90.42,70.17,0.24,13.07
"Alloteuthis.subulata",0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.52,0,0,2.07,2.73,0.91,0,0,0,0,1.64,62.98,30.26
"Cancer.pagurus",0,0,0,0,0,0,0.01,0,0.01,0.44,0.03,11.76,0.14,0,0,9.58,0.66,2.35,98.2,70.91,22.3,0.21,2.12,2.76,0.78,28.58,93.18,74.84
"Carcinus.maenas",0,0,0,1.82,0.01,0.01,8.8,0,2.21,43.1,8.87,20.83,1.13,2.58,0.06,4.48,15.2,100,17.1,5.75,7.59,0,13.17,8.64,38.14,12.55,9.48,9.77
"Homarus.gammarus",0,0,0,0,0,0,0.05,0,0.06,4.2,0.05,18.33,0.51,0.03,0,12.96,13.22,9.8,54.89,47.01,27.18,3.7,10.26,7.91,5.32,27.33,44.19,40.22
"Hyas.araneus",0,0,0,0,0,0,0.18,0.02,0.02,5.38,0.19,4.03,0.05,0.17,0.02,1.24,1.79,21.18,39.05,13.96,4.19,0,0.31,1.92,5.13,5.48,31.26,24.21
"Loligo.forbesii",0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,3.62,0,0,24.03,25.87,7.61,0,0,0,0,14.4,90.83,60.22
"Macropodia.rostrata",0,0,0,0,0,0,0.19,0,0.02,5.38,0.13,1.35,0.01,0.19,0,0.32,0.26,7.45,0.11,2.16,0.95,0,0.19,0.75,4.42,0.81,0,0.34
"Nephrops.norvegicus",0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,2.3,0.04,0,9.65,6.49,4.23,0.02,0,0,0,7.89,94.32,52.77
