"scientific_name","zone_sum","presence_sum","zone_prop"
"Aglaothamnion.tenuissimum",44238,150624,0.2937
"Ahnfeltia.plicata",16868,134497,0.12542
"Battersia.arctica",157977,516575,0.30582
"Bolboschoenus.maritimus",23104,53194,0.43433
"Bonnemaisonia.hamifera",12310,154331,0.07976
"Bryopsis.hypnoides",16898,150760,0.11209
"Bryopsis.plumosa",5755,111408,0.05166
"Butomus.umbellatus",101,6346,0.01592
"Callithamnion.corymbosum",33250,189857,0.17513
"Callithamnion.tetragonum",25,6991,0.00358
"Callitriche.hermaphroditica",44,31983,0.00138
"Caltha.palustris",2,16326,0.00012
"Ceramium.diaphanum",96422,115582,0.83423
"Ceramium.tenuicorne",165205,490613,0.33673
"Ceramium.virgatum",29544,180237,0.16392
"Ceratophyllum.demersum",11120,66800,0.16647
"Chaetomorpha.linum",143194,367933,0.38918
"Chaetomorpha.melagonium",25800,185585,0.13902
"Chara.aspera",3723,95198,0.03911
"Chara.baltica",51560,105387,0.48924
"Chara.canescens",30643,91050,0.33655
"Chara.connivens",11451,53663,0.21339
"Chara.horrida",3837,4099,0.93608
"Chara.tomentosa",2557,39064,0.06546
"Chara.virgata",137,10078,0.01359
"Chondrus.crispus",5854,133938,0.04371
"Chorda.filum",41269,216166,0.19091
"Chordaria.flagelliformis",300,67336,0.00446
"Cicuta.virosa",36,6490,0.00555
"Cladophora.rupestris",42436,247818,0.17124
"Cladophora.sericea",84875,219244,0.38713
"Coccotylus.Phyllophora",348519,670082,0.52011
"Cruoria.pellita",2737,108055,0.02533
"Cystoclonium.purpureum",8546,159299,0.05365
"Dasya.baillouviana",4932,87130,0.05661
"Delesseria.sanguinea",26211,193398,0.13553
"Derbesia.marina",16,116369,0.00014
"Desmarestia.aculeata",635,129838,0.00489
"Desmarestia.viridis",77983,228269,0.34163
"Dictyosiphon.chordaria",2893,28492,0.10154
"Dictyosiphon.foeniculaceus",63657,191369,0.33264
"Dumontia.contorta",24644,103951,0.23707
"Ectocarpus.Pylaiella",247063,624947,0.39533
"Elachista.fucicola",65194,201290,0.32388
"Eleocharis.palustris",1,11714,9e-05
"Eleocharis.parvula",3094,12587,0.24581
"Eleocharis.uniglumis",6267,36250,0.17288
"Elodea.canadensis",196,11048,0.01774
"Eudesme.virescens",73759,214868,0.34328
"Fucus.serratus",1941,86123,0.02254
"Fucus.vesiculosus.radicans",38569,156908,0.24581
"Furcellaria.lumbricalis",191113,508681,0.3757
"Gaillona.rosea",88112,239393,0.36806
"Halidrys.siliquosa",2,29128,7e-05
"Halosiphon.tomentosus",935,17813,0.05249
"Hippuris.vulgaris",39,39147,0.001
"Juncus.gerardii",21570,31222,0.69086
"Laminaria.digitata",5578,130648,0.04269
"Leathesia.marina",21286,150546,0.14139
"Lemna.minor",23828,37666,0.63261
"Lemna.trisulca",79,36880,0.00214
"Lithothamnion.glaciale",2855,92673,0.03081
"Melobesia.membranacea",4095,111215,0.03682
"Membranoptera.alata",19309,158693,0.12168
"Mesogloia.vermiculata",4361,35697,0.12217
"Monostroma.balticum",22278,27287,0.81643
"Myriophyllum.alterniflorum",102,27700,0.00368
"Myriophyllum.sibiricum",98,28847,0.0034
"Myriophyllum.spicatum",39401,158014,0.24935
"Najas.marina",2254,42025,0.05363
"Nemalion.multifidum",1755,59341,0.02957
"Odonthalia.dentata",57,101970,0.00056
"Palmaria.palmata",1856,116708,0.0159
"Phragmites.australis",4152,81466,0.05097
"Phycodrys.rubens",11097,178241,0.06226
"Phyllophora.crispa",2,8379,0.00024
"Polyides.rotunda",47961,216127,0.22191
"Polysiphonia.elongata",11201,90450,0.12384
"Polysiphonia.stricta",41755,218246,0.19132
"Potamogeton.crispus",171,7443,0.02297
"Potamogeton.friesii",1,7942,0.00013
"Potamogeton.perfoliatus",8013,176529,0.04539
"Pterothamnion.plumula",3,73008,4e-05
"Ranunculus.peltatus.peltatus",4127,39584,0.10426
"Rhizoclonium.riparium",2471,16763,0.14741
"Rhodochorton.purpureum",32331,275786,0.11723
"Rhodomela.confervoides",230734,435929,0.52929
"Rubrointrusa.membranacea",641,70455,0.0091
"Ruppia.cirrhosa",85757,192558,0.44536
"Ruppia.maritima",46490,111555,0.41675
"Saccharina.latissima",4911,142911,0.03436
"Sargassum.muticum",1,14143,7e-05
"Scagelothamnion.pusillum",979,94363,0.01037
"Schoenoplectus.lacustris",4638,14696,0.3156
"Schoenoplectus.tabernaemontani",3782,75612,0.05002
"Scytosiphon.lomentaria",20758,62724,0.33094
"Spermatochnus.paradoxus",1,37904,3e-05
"Spermothamnion.repens",13133,127405,0.10308
"Sphacelaria.cirrosa",7305,166667,0.04383
"Sphaceloderma.caespitulum",6284,71195,0.08826
"Sphaerotrichia.divaricata",12314,102368,0.12029
"Spongomorpha.aeruginosa",1291,22259,0.058
"Spongonema.tomentosum",204,19348,0.01054
"Stictyosiphon.tortilis",3437,27998,0.12276
"Stuckenia.pectinata",65649,273051,0.24043
"Triglochin.maritima",19077,37068,0.51465
"Typha.angustifolia",458,7428,0.06166
"Typha.latifolia",5,15988,0.00031
"Ulothrix.zonata",1,15285,7e-05
"Ulva.lactuca",23867,166265,0.14355
"Ulva.linza",433,6591,0.0657
"Ulva.prolifera",2002,15264,0.13116
"Urospora.penicilliformis",621,6500,0.09554
"Vertebrata.byssoides",1048,153085,0.00685
"Vertebrata.fucoides",234688,495827,0.47333
"Zannichellia.major",19692,93638,0.2103
"Zannichellia.palustris",77589,272053,0.2852
"Zostera.marina",80085,204801,0.39104
"Zygnema",2,2873,7e-04
"Abra.alba",36712,189883,0.19334
"Abra.nitida",4906,237448,0.02066
"Abyssoninoe.hibernica",97,159553,0.00061
"Acanthocardia.echinata",77,29301,0.00263
"Alitta.succinea",139678,182993,0.7633
"Alkmaria.romijni",6362,6617,0.96146
