"scientific_name","zone_sum","presence_sum","zone_prop"
"Ampelisca.brevicornis",2857,176475,0.01619
"Ampelisca.macrocephala",997,106362,0.00937
"Ampharete.baltica",248371,446694,0.55602
"Amphibalanus.improvisus",286003,560464,0.5103
"Amphiura.filiformis",4681,274011,0.01708
"Anobothrus.gracilis",3971,105752,0.03755
"Apherusa.bispinosa",25892,64342,0.40241
"Apistobranchus.tullbergi",1107,30112,0.03676
"Aporrhais.pespelecani",6,32750,0.00018
"Arctica.islandica",95524,357218,0.26741
"Arenicola.marina",126549,238890,0.52974
"Aricidea.minuta",31153,77528,0.40183
"Aricidea.suecica",137829,260929,0.52822
"Artacama.proboscidea",130,20296,0.00641
"Astarte.borealis",134816,171400,0.78656
"Astarte.elliptica",146495,173543,0.84414
"Astarte.montagui",7,17859,0.00039
"Asterias.rubens",85300,257439,0.33134
"Baltidrilus.costatus",56972,63108,0.90277
"Bathyporeia.guilliamsonia",429,71844,0.00597
"Bathyporeia.pilosa",706642,1281840,0.55127
"Bittium.reticulatum",1,86854,1e-05
"Brada.villosa",1731,54797,0.03159
"Bylgides.sarsi",2435236,2798600,0.87016
"Callopora.lineata",10219,63090,0.16197
"Capitella.capitata",76430,201932,0.37849
"Cerastoderma.edule",47314,201817,0.23444
"Cerastoderma.glaucum",775519,1218874,0.63626
"Chaetoderma.nitidulum",1945,134089,0.01451
"Chaetozone.setosa",1170,321772,0.00364
"Chalinula.limbata",81,43395,0.00187
"Corbula.gibba",29644,258087,0.11486
"Corophium.volutator",780251,1652484,0.47217
"Crassicorophium.crassicor",21940,52694,0.41637
"Crenella.decussata",10,30315,0.00033
"Cyanophthalma.obscura",135053,735732,0.18356
"Cylichna.cylindracea",707,221139,0.0032
"Dendrodoa.grossularia",2022,9815,0.20601
"Diastylis.laevis",2084,84634,0.02462
"Diastylis.rathkei",1300878,1419963,0.91614
"Dipolydora.quadrilobata",75133,126330,0.59474
"Dosinia.exoleta",33,169859,0.00019
"Echinocardium.cordatum",2050,169095,0.01212
"Echinocyamus.pusillus",701,214825,0.00326
"Ecrobia.ventrosa",256927,603527,0.42571
"Edwardsia.longicornis",777,205309,0.00378
"Einhornia.crustulenta",187635,261960,0.71627
"Electra.pilosa",3509,28347,0.12379
"Ennucula.tenuis",2354,192180,0.01225
"Eteone.longa",71300,332859,0.2142
"Eucratea.loricata",1524,96056,0.01587
"Eudorella.truncatula",6003,153594,0.03908
"Eumida.bahusiensis",5379,266924,0.02015
"Eumida.sanguinea",4835,135363,0.03572
"Fabricia.stellaris",199886,248043,0.80585
"Fabulina.fabula",33,129226,0.00026
"Filellum.serpens",325,112323,0.00289
"Galathowenia.oculata",5832,252343,0.02311
"Gammarellus.homari",311,424,0.73349
"Gammarus.oceanicus",134704,407320,0.33071
"Gammarus.salinus",831614,1579576,0.52648
"Gammarus.tigrinus",315268,757503,0.41619
"Gammarus.zaddachi",515035,1637337,0.31456
"Gastrosaccus.spinifer",68269,256793,0.26585
"Gattyana.cirrhosa",12488,436336,0.02862
"Glycera.alba",4692,249978,0.01877
"Glycera.unicornis",1383,196364,0.00704
"Glycinde.nordmanni",452,121126,0.00373
"Golfingia.vulgaris",1,119541,1e-05
"Goniada.maculata",3781,306549,0.01233
"Halcampa.duodecimcirrata",21,70359,3e-04
"Halicryptus.spinulosus",1718982,2609721,0.65868
"Halisarca.dujardinii",257,11754,0.02186
"Harmothoe.imbricata",45152,252801,0.17861
"Harpinia.antennaria",2,37835,5e-05
"Hediste.diversicolor",857425,1347603,0.63626
"Hermania.scabra",650,24215,0.02684
"Heteromastus.filiformis",116137,340003,0.34158
"Heterotanais.oerstedii",25538,27679,0.92265
"Hiatella.arctica",5839,72149,0.08093
"Jaera.albifrons",649048,1301865,0.49855
"Kurtiella.bidentata",56515,459720,0.12293
"Labidoplax.buskii",972,49338,0.0197
"Laonome.kroyeri",7,9981,7e-04
"Levinsenia.gracilis",27599,256656,0.10753
"Limecola.balthica",2092839,3370213,0.62098
"Lineus.ruber",57662,88746,0.64974
"Lysilla.loveni",1629,37129,0.04387
"Macoma.calcarea",3308,139336,0.02374
"Magelona.alleni",6,208555,3e-05
"Magelona.minuta",3060,123810,0.02472
"Malacobdella.grossa",20653,46831,0.44101
"Maldane.sarsi",3731,101309,0.03683
"Marenzelleria",1506727,3960923,0.3804
"Mediomastus.fragilis",3329,94854,0.0351
"Metridium.senile",168,856,0.19626
"Microphthalmus.sczelkowii",89,2632,0.03381
"Micrura.baltica",646724,717157,0.90179
"Molgula.manhattensis",768,1264,0.60759
"Monocorophium.insidiosum",1039,22643,0.04589
"Monoporeia.affinis",440544,2071578,0.21266
"Musculus.discors",2377,10909,0.21789
"Musculus.niger",1361,44035,0.03091
"Mya.arenaria",917138,1377896,0.66561
"Mya.truncata",47925,110426,0.434
"Mysia.undata",721,236570,0.00305
"Mysis.mixta",12754,501706,0.02542
"Mysis.relicta",5,1021276,0
"Mytilus",392671,634591,0.61878
"Neomysis.integer",179087,375273,0.47722
"Nephtys.caeca",51778,317432,0.16312
"Nephtys.ciliata",26740,133018,0.20103
"Nephtys.longosetosa",2,129990,2e-05
"Nephtys.pente",3160,53724,0.05882
"Nereimyra.punctata",23394,141230,0.16564
"Notomastus.latericeus",178,190784,0.00093
"Nucula.nitidosa",5055,272403,0.01856
"Ophelia.borealis",230,119194,0.00193
"Ophelia.rathkei",17616,45936,0.38349
"Ophiura.albida",17105,127157,0.13452
"Owenia.fusiformis",387,142258,0.00272
"Oxydromus.flexuosus",1955,143871,0.01359
"Paradoneis.eliasoni",6577,86448,0.07608
"Paramphinome.jeffreysii",1,3186,0.00031
"Paraonis.fulgens",2758,63148,0.04368
"Parexogone.hebes",65,101839,0.00064
"Pariambus.typicus",806,91251,0.00883
"Parvicardium.pinnulatum",71507,257091,0.27814
"Pectinaria.belgica",575,75140,0.00765
"Peringia.ulvae",849390,1228380,0.69147
"Perioculodes.longimanus",2,120893,2e-05
"Phaxas.pellucidus",18204,287353,0.06335
"Pherusa.plumosa",15718,81218,0.19353
"Philine.quadripartita",1152,19848,0.05804
"Pholoe.assimilis",9221,37671,0.24478
"Pholoe.baltica",6813,289990,0.02349
"Pholoe.inornata",899,88190,0.01019
"Phoronis.muelleri",3787,279985,0.01353
"Phoxocephalus.holbolli",3,31251,1e-04
"Phyllodoce.groenlandica",2151,183879,0.0117
"Phyllodoce.mucosa",146120,274446,0.53242
"Phyllodoce.rosea",2014,243613,0.00827
"Pisione.remota",1761,62000,0.0284
"Platynereis.dumerilii",8288,37398,0.22162
"Poecilochaetus.serpens",5,157713,3e-05
"Polycirrus.medusa",2587,118752,0.02178
"Polycirrus.norvegicus",123,143818,0.00086
"Polydora.cornuta",34718,117764,0.29481
"Polyphysia.crassa",447,24431,0.0183
"Pontoporeia.femorata",1037154,2013948,0.51499
"Praxillella.praetermissa",1971,165547,0.01191
"Priapulus.caudatus",538093,624839,0.86117
"Prionospio.fallax",4325,283017,0.01528
"Prionospio.multibranchiat",1103,77855,0.01417
"Protomedeia.fasciata",2233,61743,0.03617
"Psammechinus.miliaris",22,33857,0.00065
"Pusillina.inconspicua",1014,2549,0.3978
"Pygospio.elegans",1678022,2066403,0.81205
"Rhodine.gracilior",4294,157834,0.02721
"Rhodine.loveni",238,49299,0.00483
"Saduria.entomon",700165,2201049,0.31811
"Scalibregma.inflatum",13697,331505,0.04132
"Scoloplos.armiger",248523,589625,0.42149
"Scrobicularia.plana",1376,30381,0.04529
"Sertularia.cupressina",160,11248,0.01422
"Sphaerodorum.gracilis",1222,52280,0.02337
"Spio.filicornis",96,218793,0.00044
"Spio.goniocephala",42319,88785,0.47665
"Spiophanes.bombyx",2,150126,1e-05
"Spisula.subtruncata",3509,98011,0.0358
"Streblospio.shrubsolii",283222,310126,0.91325
"Tanaissus.lilljeborgi",2375,83432,0.02847
"Tellimya.ferruginosa",747,164624,0.00454
"Terebellides.stroemii",243778,545516,0.44688
"Theodoxus.fluviatilis",126552,381744,0.33151
"Thracia.phaseolina",37,215099,0.00017
"Thyasira.flexuosa",5892,252154,0.02337
"Trichobranchus.roseus",909,134162,0.00678
"Trochochaeta.multisetosa",67728,246950,0.27426
"Tubificoides.benedii",283894,400222,0.70934
"Tubificoides.pseudogaster",28961,34808,0.83202
"Tubulanus.polymorphus",6136,179057,0.03427
"Turritella.communis",12,193362,6e-05
"Virgularia.mirabilis",1698,79158,0.02145
"Westwoodilla.caecula",313,102319,0.00306
