"scientific_name","zone_sum","presence_sum","zone_prop"
"Aglaothamnion.tenuissimum",106386,150624,0.7063
"Ahnfeltia.plicata",117629,134497,0.87458
"Apoglossum.ruscifolium",19753,19753,1
"Ascophyllum.nodosum",4552,4558,0.99868
"Asperococcus.bullosus",29231,29231,1
"Bolboschoenus.maritimus",3210,53194,0.06035
"Bonnemaisonia.asparagoides",15113,15113,1
"Bonnemaisonia.hamifera",142021,154331,0.92024
"Bryopsis.hypnoides",133862,150760,0.88791
"Bryopsis.plumosa",105653,111408,0.94834
"Callithamnion.corymbosum",156607,189857,0.82487
"Callithamnion.tetragonum",6966,6991,0.99642
"Caltha.palustris",525,16326,0.03216
"Ceramium.diaphanum",16203,115582,0.14019
"Ceramium.tenuicorne",49659,490613,0.10122
"Ceramium.virgatum",150527,180237,0.83516
"Chaetomorpha.linum",129001,367933,0.35061
"Chaetomorpha.melagonium",159785,185585,0.86098
"Chara.aspera",11,95198,0.00012
"Chara.baltica",6941,105387,0.06586
"Chara.canescens",1517,91050,0.01666
"Chondrus.crispus",128084,133938,0.95629
"Chorda.filum",109517,216166,0.50663
"Chordaria.flagelliformis",67036,67336,0.99554
"Cladophora.rupestris",76492,247818,0.30866
"Cladophora.sericea",130105,219244,0.59343
"Coccotylus.Phyllophora",165861,670082,0.24752
"Colaconema.daviesii",60225,60225,1
"Corallina.officinalis",61268,61268,1
"Crassula.aquatica",62,2339,0.02651
"Cruoria.pellita",105318,108055,0.97467
"Cystoclonium.purpureum",150753,159299,0.94635
"Dasya.baillouviana",82198,87130,0.94339
"Dasysiphonia.japonica",25802,25802,1
"Delesseria.sanguinea",167187,193398,0.86447
"Derbesia.marina",116353,116369,0.99986
"Desmarestia.aculeata",129203,129838,0.99511
"Desmarestia.viridis",150286,228269,0.65837
"Dictyosiphon.chordaria",24750,28492,0.86866
"Dictyosiphon.foeniculaceus",46768,191369,0.24439
"Dilsea.carnosa",38478,38478,1
"Dumontia.contorta",79307,103951,0.76293
"Ectocarpus.Pylaiella",68484,624947,0.10958
"Elachista.fucicola",97783,201290,0.48578
"Eleocharis.parvula",169,12587,0.01343
"Eleocharis.uniglumis",4350,36250,0.12
"Erythrodermis.traillii",24753,24753,1
"Erythrotrichia.carnea",69756,69756,1
"Eudesme.virescens",16055,214868,0.07472
"Fucus.serratus",84124,86123,0.97679
"Fucus.vesiculosus.radicans",17196,156908,0.10959
"Furcellaria.lumbricalis",110522,508681,0.21727
"Gaillona.rosea",1203,239393,0.00503
"Halidrys.siliquosa",29126,29128,0.99993
"Halosiphon.tomentosus",16617,17813,0.93286
"Heterosiphonia.plumosa",13340,13340,1
"Juncus.gerardii",2768,31222,0.08866
"Laminaria.digitata",125070,130648,0.95731
"Laminaria.hyperborea",26176,26176,1
"Leathesia.marina",120065,150546,0.79753
"Lemna.minor",4940,37666,0.13115
"Limosella.aquatica",68,19350,0.00351
"Lithothamnion.glaciale",89818,92673,0.96919
"Lomentaria.clavellosa",22865,22865,1
"Melobesia.membranacea",107120,111215,0.96318
"Membranoptera.alata",139384,158693,0.87832
"Mesogloia.vermiculata",31336,35697,0.87783
"Nemalion.multifidum",57586,59341,0.97043
"Odonthalia.dentata",101913,101970,0.99944
"Palmaria.palmata",114852,116708,0.9841
"Peyssonnelia.dubyi",46231,46231,1
"Phragmites.australis",1267,81466,0.01555
"Phycodrys.rubens",167144,178241,0.93774
"Phyllophora.crispa",8377,8379,0.99976
"Plumaria.plumosa",70230,70230,1
"Polyides.rotunda",166790,216127,0.77172
"Polysiphonia.elongata",79249,90450,0.87616
"Polysiphonia.stricta",176491,218246,0.80868
"Pterothamnion.plumula",73005,73008,0.99996
"Ptilota.gunneri",38987,38987,1
"Rhizoclonium.riparium",112,16763,0.00668
"Rhodochorton.purpureum",84008,275786,0.30461
"Rhodomela.confervoides",141430,435929,0.32443
"Rhodophyllis.divaricata",43559,43559,1
"Rubrointrusa.membranacea",69814,70455,0.9909
"Ruppia.cirrhosa",58488,192558,0.30374
"Ruppia.maritima",28306,111555,0.25374
"Saccharina.latissima",137997,142911,0.96561
"Sargassum.muticum",14142,14143,0.99993
"Scagelothamnion.pusillum",93384,94363,0.98963
