"scientific_name","zone_sum","presence_sum","zone_prop"
"Schoenoplectus.lacustris",1619,14696,0.11017
"Scytosiphon.lomentaria",41944,62724,0.66871
"Spermatochnus.paradoxus",37903,37904,0.99997
"Spermothamnion.repens",114272,127405,0.89692
"Sphacelaria.cirrosa",159362,166667,0.95617
"Sphaceloderma.caespitulum",64911,71195,0.91174
"Sphaerotrichia.divaricata",90054,102368,0.87971
"Spongomorpha.aeruginosa",19045,22259,0.85561
"Spongonema.tomentosum",19144,19348,0.98946
"Stictyosiphon.tortilis",50,27998,0.00179
"Stuckenia.pectinata",5310,273051,0.01945
"Triglochin.maritima",12013,37068,0.32408
"Typha.angustifolia",72,7428,0.00969
"Typha.latifolia",1,15988,6e-05
"Ulva.lactuca",142356,166265,0.8562
"Ulva.linza",5716,6591,0.86724
"Ulva.prolifera",5641,15264,0.36956
"Vertebrata.byssoides",152037,153085,0.99315
"Vertebrata.fucoides",102623,495827,0.20697
"Zannichellia.major",101,93638,0.00108
"Zannichellia.palustris",24028,272053,0.08832
"Zostera.marina",107415,204801,0.52448
"Abra.alba",153170,189883,0.80665
"Abra.nitida",232533,237448,0.9793
"Abyssoninoe.hibernica",159414,159553,0.99913
"Acanthocardia.echinata",29224,29301,0.99737
"Alitta.succinea",43211,182993,0.23613
"Alkmaria.romijni",255,6617,0.03854
"Ampelisca.brevicornis",173618,176475,0.98381
"Ampelisca.diadema",63241,63241,1
"Ampelisca.macrocephala",105210,106362,0.98917
"Ampharete.baltica",198322,446694,0.44398
"Amphiura.filiformis",269330,274011,0.98292
"Anobothrus.gracilis",101781,105752,0.96245
"Apherusa.bispinosa",31986,64342,0.49712
"Apistobranchus.tullbergi",29005,30112,0.96324
"Aporrhais.pespelecani",32744,32750,0.99982
"Arctica.islandica",261694,357218,0.73259
"Arenicola.marina",112341,238890,0.47026
"Aricidea.minuta",46375,77528,0.59817
"Aricidea.suecica",123100,260929,0.47178
"Artacama.proboscidea",20166,20296,0.99359
"Astarte.borealis",36584,171400,0.21344
"Astarte.elliptica",27048,173543,0.15586
"Astarte.montagui",17852,17859,0.99961
"Asterias.rubens",171402,257439,0.6658
"Baltidrilus.costatus",5639,63108,0.08935
"Bathyporeia.guilliamsonia",71415,71844,0.99403
"Bathyporeia.pelagica",2333,2333,1
"Bathyporeia.pilosa",49906,1281840,0.03893
"Bittium.reticulatum",86853,86854,0.99999
"Brada.villosa",53066,54797,0.96841
"Branchiostoma.lanceolatum",33220,33220,1
"Bylgides.sarsi",29203,2798600,0.01043
"Callopora.lineata",52871,63090,0.83803
"Capitella.capitata",125502,201932,0.62151
"Cerastoderma.edule",126951,201817,0.62904
"Cerastoderma.glaucum",23225,1218874,0.01905
"Chaetoderma.nitidulum",132144,134089,0.98549
"Chaetozone.setosa",320595,321772,0.99634
"Chalinula.limbata",43314,43395,0.99813
"Chamelea.gallina",139984,139984,1
"Clytia.hemisphaerica",1055,1055,1
"Corbula.gibba",228383,258087,0.88491
"Corophium.volutator",9762,1652484,0.00591
"Crassicorophium.crassicor",30754,52694,0.58363
"Crenella.decussata",30305,30315,0.99967
"Cyanophthalma.obscura",783,735732,0.00106
"Cylichna.cylindracea",220432,221139,0.9968
"Dendrodoa.grossularia",7793,9815,0.79399
"Diastylis.laevis",82542,84634,0.97528
"Diastylis.rathkei",117687,1419963,0.08288
"Dipolydora.quadrilobata",51197,126330,0.40526
"Dosinia.exoleta",169826,169859,0.99981
"Echinocardium.cordatum",167045,169095,0.98788
"Echinocyamus.pusillus",214124,214825,0.99674
"Ecrobia.ventrosa",3125,603527,0.00518
"Edwardsia.longicornis",204173,205309,0.99447
"Einhornia.crustulenta",48,261960,0.00018
"Electra.pilosa",24838,28347,0.87621
"Ennucula.tenuis",189826,192180,0.98775
"Escharella.immersa",47368,47368,1
"Eteone.longa",261553,332859,0.78578
"Eucratea.loricata",94532,96056,0.98413
"Eudorella.truncatula",147588,153594,0.9609
"Eumida.bahusiensis",258659,266924,0.96904
"Eumida.sanguinea",130528,135363,0.96428
"Fabricia.stellaris",42554,248043,0.17156
"Fabulina.fabula",129193,129226,0.99974
"Filellum.serpens",111998,112323,0.99711
"Galathowenia.oculata",246480,252343,0.97677
"Gammarellus.homari",113,424,0.26651
"Gammarus.oceanicus",1,407320,0
"Gammarus.salinus",2106,1579576,0.00133
"Gammarus.tigrinus",328912,757503,0.43421
"Gammarus.zaddachi",4367,1637337,0.00267
"Gastrosaccus.spinifer",188524,256793,0.73415
"Gattyana.cirrhosa",423270,436336,0.97006
"Glycera.alba",245286,249978,0.98123
"Glycera.unicornis",194981,196364,0.99296
"Glycinde.nordmanni",120674,121126,0.99627
"Golfingia.vulgaris",119540,119541,0.99999
"Goniada.maculata",302757,306549,0.98763
"Halcampa.duodecimcirrata",70337,70359,0.99969
"Halicryptus.spinulosus",4293,2609721,0.00165
"Halisarca.dujardinii",11497,11754,0.97814
"Harmothoe.imbricata",207649,252801,0.82139
"Harpinia.antennaria",37833,37835,0.99995
"Hediste.diversicolor",46888,1347603,0.03479
"Hermania.scabra",23565,24215,0.97316
"Heteromastus.filiformis",223865,340003,0.65842
"Heterotanais.oerstedii",905,27679,0.0327
"Hiatella.arctica",66310,72149,0.91907
"Jaera.albifrons",20109,1301865,0.01545
"Kurtiella.bidentata",403198,459720,0.87705
"Labidoplax.buskii",48366,49338,0.9803
"Lanice.conchilega",154013,154013,1
"Laonice.bahusiensis",6242,6242,1
"Laonome.kroyeri",9974,9981,0.9993
"Levinsenia.gracilis",229050,256656,0.89244
"Limecola.balthica",42505,3370213,0.01261
"Lineus.ruber",31084,88746,0.35026
"Lysilla.loveni",35473,37129,0.9554
"Macoma.calcarea",136028,139336,0.97626
"Magelona.alleni",208549,208555,0.99997
"Magelona.minuta",120749,123810,0.97528
"Malacobdella.grossa",26178,46831,0.55899
"Maldane.sarsi",97578,101309,0.96317
"Marenzelleria",210,3960923,5e-05
"Mediomastus.fragilis",91522,94854,0.96487
"Metridium.senile",688,856,0.80374
"Microphthalmus.sczelkowii",2277,2632,0.86512
"Micrura.baltica",141,717157,2e-04
"Modiolus.modiolus",26431,26431,1
"Molgula.manhattensis",496,1264,0.39241
"Monocorophium.insidiosum",21604,22643,0.95411
"Musculus.discors",8532,10909,0.78211
"Musculus.niger",42674,44035,0.96909
"Mya.arenaria",106271,1377896,0.07713
"Mya.truncata",62501,110426,0.566
"Mysia.undata",235782,236570,0.99667
"Mytilus",50570,634591,0.07969
"Nephtys.assimilis",35030,35030,1
"Nephtys.caeca",265654,317432,0.83688
"Nephtys.ciliata",106278,133018,0.79897
"Nephtys.longosetosa",129988,129990,0.99998
"Nephtys.pente",50564,53724,0.94118
"Nereimyra.punctata",117836,141230,0.83436
"Notomastus.latericeus",190606,190784,0.99907
"Nucula.nitidosa",267347,272403,0.98144
"Ophelia.borealis",118964,119194,0.99807
"Ophelia.rathkei",28320,45936,0.61651
"Ophiura.albida",110052,127157,0.86548
"Owenia.fusiformis",141871,142258,0.99728
"Oxydromus.flexuosus",141916,143871,0.98641
"Paradoneis.eliasoni",79871,86448,0.92392
"Paramphinome.jeffreysii",3185,3186,0.99969
"Paraonis.fulgens",60390,63148,0.95632
"Parexogone.hebes",101774,101839,0.99936
"Pariambus.typicus",90445,91251,0.99117
"Parvicardium.pinnulatum",185584,257091,0.72186
"Pectinaria.belgica",74565,75140,0.99235
"Peringia.ulvae",97391,1228380,0.07928
"Perioculodes.longimanus",120891,120893,0.99998
"Phaxas.pellucidus",269140,287353,0.93662
"Pherusa.plumosa",65500,81218,0.80647
"Philine.quadripartita",17955,19848,0.90463
"Pholoe.assimilis",28450,37671,0.75522
"Pholoe.baltica",283177,289990,0.97651
"Pholoe.inornata",87291,88190,0.98981
"Phoronis.muelleri",276177,279985,0.9864
"Phoxocephalus.holbolli",31248,31251,0.9999
"Phyllodoce.groenlandica",181728,183879,0.9883
"Phyllodoce.mucosa",128326,274446,0.46758
"Phyllodoce.rosea",238749,243613,0.98003
"Pisione.remota",55281,62000,0.89163
"Platynereis.dumerilii",29110,37398,0.77838
"Poecilochaetus.serpens",157708,157713,0.99997
"Polycirrus.medusa",116165,118752,0.97822
"Polycirrus.norvegicus",143652,143818,0.99885
"Polycirrus.plumosus",17486,17486,1
"Polydora.cornuta",83046,117764,0.70519
"Polyphysia.crassa",23984,24431,0.9817
"Praxillella.praetermissa",163576,165547,0.98809
"Priapulus.caudatus",86746,624839,0.13883
"Prionospio.fallax",278672,283017,0.98465
"Prionospio.multibranchiat",76752,77855,0.98583
"Protomedeia.fasciata",59510,61743,0.96383
"Psammechinus.miliaris",33835,33857,0.99935
"Pusillina.inconspicua",1535,2549,0.6022
"Pygospio.elegans",157613,2066403,0.07627
"Rhodine.gracilior",153540,157834,0.97279
"Rhodine.loveni",49061,49299,0.99517
"Scalibregma.inflatum",317773,331505,0.95858
"Scoloplos.armiger",341036,589625,0.57839
"Scrobicularia.plana",29005,30381,0.95471
"Sertularia.cupressina",11088,11248,0.98578
"Sphaerodorum.gracilis",51058,52280,0.97663
"Spio.filicornis",218697,218793,0.99956
"Spio.goniocephala",46466,88785,0.52335
"Spiophanes.bombyx",150124,150126,0.99999
"Spirorbis.corallinae",23279,23279,1
"Spisula.subtruncata",94502,98011,0.9642
"Streblospio.shrubsolii",16405,310126,0.0529
"Tanaissus.lilljeborgi",80677,83432,0.96698
"Tellimya.ferruginosa",163877,164624,0.99546
"Terebellides.stroemii",301738,545516,0.55312
"Theodoxus.fluviatilis",354,381744,0.00093
"Thracia.phaseolina",215062,215099,0.99983
"Thyasira.flexuosa",246255,252154,0.97661
"Trichobranchus.roseus",133253,134162,0.99322
"Trochochaeta.multisetosa",179221,246950,0.72574
"Tubificoides.benedii",115792,400222,0.28932
"Tubificoides.pseudogaster",5847,34808,0.16798
"Tubulanus.polymorphus",172921,179057,0.96573
"Turritella.communis",193350,193362,0.99994
"Upogebia.deltaura",17815,17815,1
"Virgularia.mirabilis",77460,79158,0.97855
"Westwoodilla.caecula",102006,102319,0.99694
