"scientific_name","zone_sum","presence_sum","zone_prop"
"Polycirrus.norvegicus",43,143818,3e-04
"Pontoporeia.femorata",976690,2013948,0.48496
"Prionospio.fallax",20,283017,7e-05
"Pygospio.elegans",229767,2066403,0.11119
"Saduria.entomon",1291261,2201049,0.58666
"Scalibregma.inflatum",35,331505,0.00011
"Scoloplos.armiger",66,589625,0.00011
"Streblospio.shrubsolii",10319,310126,0.03327
"Tanaissus.lilljeborgi",46,83432,0.00055
"Theodoxus.fluviatilis",254004,381744,0.66538
"Thyasira.flexuosa",7,252154,3e-05
"Trochochaeta.multisetosa",1,246950,0
"Tubificoides.benedii",536,400222,0.00134
