"species","colour","cluster","cluster_int"
"Mya.arenaria","#00AD9A","D",4
"Cerastoderma.glaucum","#00AD9A","D",4
"Hediste.diversicolor","#00AD9A","D",4
"Gammarus.oceanicus","#00AD9A","D",4
"Theodoxus.fluviatilis","#00AD9A","D",4
"Ecrobia.ventrosa","#00AD9A","D",4
"Peringia.ulvae","#00AD9A","D",4
"Neomysis.integer","#00AD9A","D",4
"Pygospio.elegans","#00AD9A","D",4
"Battersia.arctica","#00AD9A","D",4
"Limecola.balthica","#00AD9A","D",4
"Marenzelleria","#00AD9A","D",4
"Corophium.volutator","#00AD9A","D",4
"Cyanophthalma.obscura","#00AD9A","D",4
"Gammarus.zaddachi","#00AD9A","D",4
"Bathyporeia.pilosa","#00AD9A","D",4
"Amphibalanus.improvisus","#00AD9A","D",4
"Gammarus.salinus","#00AD9A","D",4
"Jaera.albifrons","#00AD9A","D",4
"Zannichellia.major","#00AD9A","D",4
"Chorda.filum","#00AD9A","D",4
"Eudesme.virescens","#00AD9A","D",4
"Fucus.vesiculosus.radicans","#00AD9A","D",4
"Stictyosiphon.tortilis","#00AD9A","D",4
"Dictyosiphon.foeniculaceus","#00AD9A","D",4
"Elachista.fucicola","#00AD9A","D",4
"Rhodochorton.purpureum","#00AD9A","D",4
"Cladophora.rupestris","#00AD9A","D",4
"Vertebrata.fucoides","#00AD9A","D",4
"Ceramium.tenuicorne","#00AD9A","D",4
"Ectocarpus.Pylaiella","#00AD9A","D",4
"Coccotylus.Phyllophora","#00AD9A","D",4
"Furcellaria.lumbricalis","#00AD9A","D",4
"Gaillona.rosea","#00AD9A","D",4
"Einhornia.crustulenta","#00AD9A","D",4
"Ampithoe.rubricata","#00AD9A","D",4
"Mytilus","#00AD9A","D",4
"Alisma.wahlenbergii","#909800","C",3
"Eleocharis.mamillata","#909800","C",3
"Cicuta.virosa","#909800","C",3
"Eleocharis.parvula","#909800","C",3
"Chara.virgata","#909800","C",3
"Potamogeton.berchtoldii","#909800","C",3
"Equisetum.fluviatile","#909800","C",3
"Potamogeton.friesii","#909800","C",3
"Callitriche.palustris","#909800","C",3
"Elatine.hydropiper","#909800","C",3
"Caltha.palustris","#909800","C",3
"Ranunculus.reptans","#909800","C",3
"Potamogeton.gramineus","#909800","C",3
"Callitriche.hermaphroditica","#909800","C",3
"Myriophyllum.alterniflorum","#909800","C",3
"Eleocharis.uniglumis","#909800","C",3
"Eleocharis.palustris","#909800","C",3
"Limosella.aquatica","#909800","C",3
"Potamogeton.pusillus","#909800","C",3
"Eleocharis.acicularis","#909800","C",3
"Subularia.aquatica","#909800","C",3
"Potamogeton.obtusifolius","#9183E6","B",2
"Typha.angustifolia","#9183E6","B",2
"Nuphar.lutea","#9183E6","B",2
"Nymphaea.alba","#9183E6","B",2
"Potamogeton.natans","#9183E6","B",2
"Schoenoplectus.lacustris","#9183E6","B",2
"Myriophyllum.verticillatum","#9183E6","B",2
"Typha.latifolia","#9183E6","B",2
"Ranunculus.peltatus.peltatus","#9183E6","B",2
"Hippuris.vulgaris","#9183E6","B",2
"Schoenoplectus.tabernaemontani","#9183E6","B",2
"Lemna.trisulca","#9183E6","B",2
"Myriophyllum.sibiricum","#9183E6","B",2
"Chara.tomentosa","#9183E6","B",2
"Najas.marina","#9183E6","B",2
"Bolboschoenus.maritimus","#9183E6","B",2
"Ceratophyllum.demersum","#9183E6","B",2
"Phragmites.australis","#9183E6","B",2
"Dreissena.polymorpha","#E16A86","A",1
"Chaetomorpha.linum","#E16A86","A",1
"Ruppia.cirrhosa","#E16A86","A",1
"Butomus.umbellatus","#E16A86","A",1
"Zostera.marina","#E16A86","A",1
"Ceramium.diaphanum","#E16A86","A",1
"Potamogeton.crispus","#E16A86","A",1
"Ulva.prolifera","#E16A86","A",1
"Urospora.penicilliformis","#E16A86","A",1
"Leathesia.marina","#E16A86","A",1
"Chara.connivens","#E16A86","A",1
"Rhizoclonium.riparium","#E16A86","A",1
"Ruppia.maritima","#E16A86","A",1
"Chara.baltica","#E16A86","A",1
"Chara.canescens","#E16A86","A",1
"Gammarus.tigrinus","#E16A86","A",1
"Myriophyllum.spicatum","#E16A86","A",1
"Stuckenia.pectinata","#E16A86","A",1
"Mysis.relicta","#E16A86","A",1
"Monoporeia.affinis","#E16A86","A",1
"Saduria.entomon","#E16A86","A",1
"Mysis.mixta","#E16A86","A",1
"Corophium.multisetosum","#E16A86","A",1
"Halicryptus.spinulosus","#E16A86","A",1
"Pontoporeia.femorata","#E16A86","A",1
"Potamogeton.perfoliatus","#E16A86","A",1
"Vaucheria","#E16A86","A",1
"Chara.aspera","#E16A86","A",1
"Zannichellia.palustris","#E16A86","A",1
"Aegagropila.linnaei","#E16A86","A",1
"Rangia.cuneata","#E16A86","A",1
"Fontinalis.antipyretica","#E16A86","A",1
"Nitella.flexilis","#E16A86","A",1
"Fontinalis.dalecarlica","#E16A86","A",1
"Fissidens.fontanus","#E16A86","A",1
"Ulothrix.zonata","#E16A86","A",1
"Pisione.remota","#E16A86","A",1
"Zygnema","#E16A86","A",1
"Crassula.aquatica","#E16A86","A",1
"Persicaria.foliosa","#E16A86","A",1
"Elodea.canadensis","#E16A86","A",1
"Utricularia.vulgaris","#E16A86","A",1
"Sagittaria.natans","#E16A86","A",1
"Elodea.nuttallii","#E16A86","A",1
"Chara.braunii","#E16A86","A",1
"Nitella.wahlbergiana","#E16A86","A",1
"Ascidiella.aspersa","#E16A86","A",1
"Ericthonius.brasiliensis","#E16A86","A",1
"Sagittaria.sagittifolia","#E16A86","A",1
"Sparganium.emersum","#E16A86","A",1
"Juncus.gerardii","#E16A86","A",1
"Triglochin.maritima","#E16A86","A",1
"Potamogeton.praelongus","#E16A86","A",1
"Stuckenia.vaginata","#E16A86","A",1
"Fontinalis.hypnoides","#E16A86","A",1
"Hippuris.tetraphylla","#E16A86","A",1
"Cerastoderma.edule","#E16A86","A",1
"Spongomorpha.aeruginosa","#E16A86","A",1
"Microphthalmus.sczelkowii","#E16A86","A",1
"Batrachospermum","#E16A86","A",1
"Chara.horrida","#E16A86","A",1
"Nitellopsis.obtusa","#E16A86","A",1
"Ranunculus.aquatilis","#E16A86","A",1
"Lemna.minor","#E16A86","A",1
"Monostroma.balticum","#E16A86","A",1
