"species","colour","cluster","cluster_int","cluster_name"
"Eleocharis.palustris","#9183E6","D",4,"Zone1_D"
"Ranunculus.peltatus.peltatus","#9183E6","D",4,"Zone1_D"
"Chara.tomentosa","#9183E6","D",4,"Zone1_D"
"Najas.marina","#9183E6","D",4,"Zone1_D"
"Hippuris.vulgaris","#9183E6","D",4,"Zone1_D"
"Schoenoplectus.tabernaemontani","#9183E6","D",4,"Zone1_D"
"Lemna.trisulca","#9183E6","D",4,"Zone1_D"
"Myriophyllum.sibiricum","#9183E6","D",4,"Zone1_D"
"Lemna.minor","#9183E6","D",4,"Zone1_D"
"Potamogeton.obtusifolius","#9183E6","D",4,"Zone1_D"
"Typha.angustifolia","#9183E6","D",4,"Zone1_D"
"Nuphar.lutea","#9183E6","D",4,"Zone1_D"
"Nymphaea.alba","#9183E6","D",4,"Zone1_D"
"Potamogeton.natans","#9183E6","D",4,"Zone1_D"
"Schoenoplectus.lacustris","#9183E6","D",4,"Zone1_D"
"Myriophyllum.verticillatum","#9183E6","D",4,"Zone1_D"
"Typha.latifolia","#9183E6","D",4,"Zone1_D"
"Potamogeton.gramineus","#00AD9A","C",3,"Zone1_C"
"Callitriche.hermaphroditica","#00AD9A","C",3,"Zone1_C"
"Myriophyllum.alterniflorum","#00AD9A","C",3,"Zone1_C"
"Eleocharis.uniglumis","#00AD9A","C",3,"Zone1_C"
"Limosella.aquatica","#00AD9A","C",3,"Zone1_C"
"Potamogeton.pusillus","#00AD9A","C",3,"Zone1_C"
"Eleocharis.acicularis","#00AD9A","C",3,"Zone1_C"
"Subularia.aquatica","#00AD9A","C",3,"Zone1_C"
"Chara.virgata","#00AD9A","C",3,"Zone1_C"
"Potamogeton.berchtoldii","#00AD9A","C",3,"Zone1_C"
"Equisetum.fluviatile","#00AD9A","C",3,"Zone1_C"
"Potamogeton.friesii","#00AD9A","C",3,"Zone1_C"
"Callitriche.palustris","#00AD9A","C",3,"Zone1_C"
"Elatine.hydropiper","#00AD9A","C",3,"Zone1_C"
"Caltha.palustris","#00AD9A","C",3,"Zone1_C"
"Ranunculus.reptans","#00AD9A","C",3,"Zone1_C"
"Sagittaria.natans","#00AD9A","C",3,"Zone1_C"
"Elodea.nuttallii","#00AD9A","C",3,"Zone1_C"
"Chara.braunii","#00AD9A","C",3,"Zone1_C"
"Nitella.wahlbergiana","#00AD9A","C",3,"Zone1_C"
"Pisione.remota","#00AD9A","C",3,"Zone1_C"
"Zygnema","#00AD9A","C",3,"Zone1_C"
"Crassula.aquatica","#00AD9A","C",3,"Zone1_C"
"Persicaria.foliosa","#00AD9A","C",3,"Zone1_C"
"Fontinalis.antipyretica","#00AD9A","C",3,"Zone1_C"
"Nitella.flexilis","#00AD9A","C",3,"Zone1_C"
"Fontinalis.dalecarlica","#00AD9A","C",3,"Zone1_C"
"Fissidens.fontanus","#00AD9A","C",3,"Zone1_C"
"Ulothrix.zonata","#00AD9A","C",3,"Zone1_C"
"Alisma.wahlenbergii","#00AD9A","C",3,"Zone1_C"
"Eleocharis.mamillata","#00AD9A","C",3,"Zone1_C"
"Cicuta.virosa","#00AD9A","C",3,"Zone1_C"
"Eleocharis.parvula","#00AD9A","C",3,"Zone1_C"
"Sagittaria.sagittifolia","#00AD9A","C",3,"Zone1_C"
"Sparganium.emersum","#00AD9A","C",3,"Zone1_C"
"Butomus.umbellatus","#00AD9A","C",3,"Zone1_C"
"Elodea.canadensis","#00AD9A","C",3,"Zone1_C"
"Utricularia.vulgaris","#00AD9A","C",3,"Zone1_C"
