"cluster_1","cluster_2","n_species_1","n_species_2","n_shared","pct_of_cluster_1","pct_of_cluster_2","total_pct"
"Zone2_A","Zone4_B",18,18,1,5.6,5.6,2.9
"Zone2_A","Zone6_D",18,18,1,5.6,5.6,2.9
"Zone3_A","Zone6_D",18,18,1,5.6,5.6,2.9
"Zone5_D","Zone6_D",17,18,1,5.9,5.6,2.9
"Zone1_B","Zone5_C",26,11,1,3.8,9.1,2.8
"Zone3_D","Zone5_C",26,11,1,3.8,9.1,2.8
"Zone2_C","Zone6_H",10,28,1,10,3.6,2.7
"Zone4_B","Zone6_A",18,20,1,5.6,5,2.7
"Zone5_E","Zone6_C",6,32,1,16.7,3.1,2.7
"Zone1_A","Zone5_F",31,9,1,3.2,11.1,2.6
"Zone2_E","Zone6_C",8,32,1,12.5,3.1,2.6
"Zone2_A","Zone4_A",18,21,1,5.6,4.8,2.6
"Zone4_A","Zone6_D",21,18,1,4.8,5.6,2.6
"Zone5_A","Zone6_H",11,28,1,9.1,3.6,2.6
"Zone2_F","Zone5_F",32,9,1,3.1,11.1,2.5
"Zone1_B","Zone5_D",26,17,1,3.8,5.9,2.4
"Zone2_F","Zone5_A",32,11,1,3.1,9.1,2.4
"Zone2_C","Zone6_C",10,32,1,10,3.1,2.4
"Zone3_A","Zone6_B",18,25,1,5.6,4,2.4
"Zone5_C","Zone6_C",11,32,1,9.1,3.1,2.4
"Zone1_B","Zone6_D",26,18,1,3.8,5.6,2.3
"Zone2_D","Zone6_C",12,32,1,8.3,3.1,2.3
"Zone1_B","Zone6_A",26,20,1,3.8,5,2.2
"Zone3_D","Zone4_A",26,21,1,3.8,4.8,2.2
"Zone3_D","Zone6_A",26,20,1,3.8,5,2.2
"Zone3_A","Zone6_G",18,28,1,5.6,3.6,2.2
"Zone4_A","Zone6_B",21,25,1,4.8,4,2.2
"Zone1_A","Zone2_A",31,18,1,3.2,5.6,2.1
"Zone1_C","Zone6_I",52,52,2,3.8,3.8,2
"Zone2_A","Zone6_C",18,32,1,5.6,3.1,2
"Zone3_E","Zone6_C",18,32,1,5.6,3.1,2
"Zone2_F","Zone4_A",32,21,1,3.1,4.8,1.9
"Zone4_A","Zone6_F",21,32,1,4.8,3.1,1.9
"Zone1_C","Zone2_B",52,6,1,1.9,16.7,1.8
"Zone1_A","Zone3_D",31,26,1,3.2,3.8,1.8
"Zone2_F","Zone6_B",32,25,1,3.1,4,1.8
"Zone5_F","Zone6_J",9,48,1,11.1,2.1,1.8
"Zone5_E","Zone6_I",6,52,1,16.7,1.9,1.8
"Zone1_A","Zone6_G",31,28,1,3.2,3.6,1.7
"Zone2_F","Zone6_G",32,28,1,3.1,3.6,1.7
"Zone1_C","Zone2_C",52,10,1,1.9,10,1.6
"Zone4_A","Zone6_J",21,48,1,4.8,2.1,1.5
"Zone5_B","Zone6_I",15,52,1,6.7,1.9,1.5
"Zone1_C","Zone4_B",52,18,1,1.9,5.6,1.4
"Zone2_A","Zone6_I",18,52,1,5.6,1.9,1.4
"Zone4_A","Zone6_I",21,52,1,4.8,1.9,1.4
"Zone1_C","Zone6_B",52,25,1,1.9,4,1.3
"Zone1_B","Zone6_I",26,52,1,3.8,1.9,1.3
"Zone4_C","Zone6_I",25,52,1,4,1.9,1.3
"Zone1_C","Zone6_C",52,32,1,1.9,3.1,1.2
"Zone1_D","Zone1_C",17,52,0,0,0,0
"Zone1_D","Zone1_B",17,26,0,0,0,0
"Zone1_D","Zone1_A",17,31,0,0,0,0
"Zone1_D","Zone2_F",17,32,0,0,0,0
"Zone1_D","Zone2_E",17,8,0,0,0,0
"Zone1_D","Zone2_D",17,12,0,0,0,0
"Zone1_D","Zone3_C",17,11,0,0,0,0
"Zone1_D","Zone3_B",17,17,0,0,0,0
"Zone1_D","Zone3_A",17,18,0,0,0,0
"Zone1_D","Zone4_C",17,25,0,0,0,0
"Zone1_D","Zone4_B",17,18,0,0,0,0
"Zone1_D","Zone4_A",17,21,0,0,0,0
"Zone1_D","Zone5_G",17,7,0,0,0,0
"Zone1_D","Zone5_F",17,9,0,0,0,0
"Zone1_D","Zone5_E",17,6,0,0,0,0
"Zone1_D","Zone5_D",17,17,0,0,0,0
"Zone1_D","Zone5_C",17,11,0,0,0,0
"Zone1_D","Zone5_B",17,15,0,0,0,0
"Zone1_D","Zone5_A",17,11,0,0,0,0
"Zone1_D","Zone6_K",17,15,0,0,0,0
"Zone1_D","Zone6_J",17,48,0,0,0,0
"Zone1_D","Zone6_I",17,52,0,0,0,0
"Zone1_D","Zone6_H",17,28,0,0,0,0
"Zone1_D","Zone6_G",17,28,0,0,0,0
"Zone1_D","Zone6_F",17,32,0,0,0,0
"Zone1_D","Zone6_E",17,11,0,0,0,0
"Zone1_D","Zone6_D",17,18,0,0,0,0
"Zone1_D","Zone6_C",17,32,0,0,0,0
"Zone1_D","Zone6_B",17,25,0,0,0,0
"Zone1_C","Zone1_B",52,26,0,0,0,0
"Zone1_C","Zone1_A",52,31,0,0,0,0
"Zone1_C","Zone2_F",52,32,0,0,0,0
"Zone1_C","Zone2_E",52,8,0,0,0,0
"Zone1_C","Zone2_D",52,12,0,0,0,0
"Zone1_C","Zone3_C",52,11,0,0,0,0
"Zone1_C","Zone3_B",52,17,0,0,0,0
"Zone1_C","Zone3_A",52,18,0,0,0,0
"Zone1_C","Zone4_C",52,25,0,0,0,0
"Zone1_C","Zone4_A",52,21,0,0,0,0
"Zone1_C","Zone5_G",52,7,0,0,0,0
"Zone1_C","Zone5_F",52,9,0,0,0,0
"Zone1_C","Zone5_E",52,6,0,0,0,0
"Zone1_C","Zone5_D",52,17,0,0,0,0
"Zone1_C","Zone5_B",52,15,0,0,0,0
"Zone1_C","Zone5_A",52,11,0,0,0,0
"Zone1_C","Zone6_K",52,15,0,0,0,0
"Zone1_C","Zone6_J",52,48,0,0,0,0
"Zone1_C","Zone6_H",52,28,0,0,0,0
"Zone1_C","Zone6_G",52,28,0,0,0,0
"Zone1_C","Zone6_F",52,32,0,0,0,0
"Zone1_C","Zone6_E",52,11,0,0,0,0
"Zone1_C","Zone6_D",52,18,0,0,0,0
"Zone1_B","Zone1_A",26,31,0,0,0,0
"Zone1_B","Zone2_E",26,8,0,0,0,0
"Zone1_B","Zone3_C",26,11,0,0,0,0
"Zone1_B","Zone4_A",26,21,0,0,0,0
"Zone1_B","Zone5_G",26,7,0,0,0,0
"Zone1_B","Zone5_F",26,9,0,0,0,0
"Zone1_B","Zone5_E",26,6,0,0,0,0
"Zone1_B","Zone6_K",26,15,0,0,0,0
"Zone1_B","Zone6_J",26,48,0,0,0,0
"Zone1_B","Zone6_H",26,28,0,0,0,0
"Zone1_B","Zone6_G",26,28,0,0,0,0
"Zone1_B","Zone6_F",26,32,0,0,0,0
"Zone1_B","Zone6_E",26,11,0,0,0,0
"Zone1_A","Zone2_C",31,10,0,0,0,0
"Zone1_A","Zone2_B",31,6,0,0,0,0
"Zone1_A","Zone5_G",31,7,0,0,0,0
"Zone1_A","Zone5_E",31,6,0,0,0,0
"Zone1_A","Zone5_C",31,11,0,0,0,0
"Zone1_A","Zone5_B",31,15,0,0,0,0
"Zone1_A","Zone5_A",31,11,0,0,0,0
"Zone1_A","Zone6_K",31,15,0,0,0,0
"Zone1_A","Zone6_J",31,48,0,0,0,0
"Zone1_A","Zone6_I",31,52,0,0,0,0
"Zone1_A","Zone6_F",31,32,0,0,0,0
"Zone1_A","Zone6_E",31,11,0,0,0,0
"Zone1_A","Zone6_D",31,18,0,0,0,0
"Zone1_A","Zone6_A",31,20,0,0,0,0
"Zone2_F","Zone2_E",32,8,0,0,0,0
"Zone2_F","Zone2_D",32,12,0,0,0,0
"Zone2_F","Zone2_C",32,10,0,0,0,0
"Zone2_F","Zone2_B",32,6,0,0,0,0
"Zone2_F","Zone2_A",32,18,0,0,0,0
"Zone2_F","Zone3_E",32,18,0,0,0,0
"Zone2_F","Zone3_D",32,26,0,0,0,0
"Zone2_F","Zone3_C",32,11,0,0,0,0
"Zone2_F","Zone5_G",32,7,0,0,0,0
"Zone2_F","Zone5_E",32,6,0,0,0,0
"Zone2_F","Zone5_C",32,11,0,0,0,0
"Zone2_F","Zone5_B",32,15,0,0,0,0
"Zone2_F","Zone6_K",32,15,0,0,0,0
"Zone2_F","Zone6_J",32,48,0,0,0,0
"Zone2_F","Zone6_I",32,52,0,0,0,0
"Zone2_F","Zone6_F",32,32,0,0,0,0
"Zone2_F","Zone6_E",32,11,0,0,0,0
"Zone2_F","Zone6_D",32,18,0,0,0,0
"Zone2_F","Zone6_A",32,20,0,0,0,0
"Zone2_E","Zone2_D",8,12,0,0,0,0
"Zone2_E","Zone2_C",8,10,0,0,0,0
"Zone2_E","Zone2_B",8,6,0,0,0,0
"Zone2_E","Zone2_A",8,18,0,0,0,0
"Zone2_E","Zone3_E",8,18,0,0,0,0
"Zone2_E","Zone3_D",8,26,0,0,0,0
"Zone2_E","Zone3_A",8,18,0,0,0,0
"Zone2_E","Zone4_C",8,25,0,0,0,0
"Zone2_E","Zone4_B",8,18,0,0,0,0
"Zone2_E","Zone5_G",8,7,0,0,0,0
"Zone2_E","Zone5_E",8,6,0,0,0,0
"Zone2_E","Zone5_D",8,17,0,0,0,0
"Zone2_E","Zone5_C",8,11,0,0,0,0
"Zone2_E","Zone5_B",8,15,0,0,0,0
"Zone2_E","Zone5_A",8,11,0,0,0,0
"Zone2_E","Zone6_K",8,15,0,0,0,0
"Zone2_E","Zone6_J",8,48,0,0,0,0
"Zone2_E","Zone6_I",8,52,0,0,0,0
"Zone2_E","Zone6_H",8,28,0,0,0,0
"Zone2_E","Zone6_G",8,28,0,0,0,0
"Zone2_E","Zone6_F",8,32,0,0,0,0
"Zone2_E","Zone6_D",8,18,0,0,0,0
"Zone2_E","Zone6_B",8,25,0,0,0,0
"Zone2_E","Zone6_A",8,20,0,0,0,0
"Zone2_D","Zone2_C",12,10,0,0,0,0
"Zone2_D","Zone2_B",12,6,0,0,0,0
"Zone2_D","Zone2_A",12,18,0,0,0,0
"Zone2_D","Zone3_D",12,26,0,0,0,0
"Zone2_D","Zone3_C",12,11,0,0,0,0
"Zone2_D","Zone3_B",12,17,0,0,0,0
"Zone2_D","Zone4_C",12,25,0,0,0,0
"Zone2_D","Zone4_A",12,21,0,0,0,0
"Zone2_D","Zone5_G",12,7,0,0,0,0
"Zone2_D","Zone5_F",12,9,0,0,0,0
"Zone2_D","Zone5_E",12,6,0,0,0,0
"Zone2_D","Zone5_D",12,17,0,0,0,0
"Zone2_D","Zone5_C",12,11,0,0,0,0
"Zone2_D","Zone5_B",12,15,0,0,0,0
"Zone2_D","Zone6_K",12,15,0,0,0,0
"Zone2_D","Zone6_J",12,48,0,0,0,0
"Zone2_D","Zone6_I",12,52,0,0,0,0
"Zone2_D","Zone6_H",12,28,0,0,0,0
"Zone2_D","Zone6_G",12,28,0,0,0,0
"Zone2_D","Zone6_F",12,32,0,0,0,0
"Zone2_D","Zone6_E",12,11,0,0,0,0
"Zone2_D","Zone6_A",12,20,0,0,0,0
"Zone2_C","Zone2_B",10,6,0,0,0,0
"Zone2_C","Zone2_A",10,18,0,0,0,0
"Zone2_C","Zone3_E",10,18,0,0,0,0
"Zone2_C","Zone3_C",10,11,0,0,0,0
"Zone2_C","Zone3_B",10,17,0,0,0,0
"Zone2_C","Zone3_A",10,18,0,0,0,0
"Zone2_C","Zone4_C",10,25,0,0,0,0
"Zone2_C","Zone4_A",10,21,0,0,0,0
"Zone2_C","Zone5_G",10,7,0,0,0,0
"Zone2_C","Zone5_F",10,9,0,0,0,0
"Zone2_C","Zone5_E",10,6,0,0,0,0
"Zone2_C","Zone5_D",10,17,0,0,0,0
"Zone2_C","Zone5_A",10,11,0,0,0,0
"Zone2_C","Zone6_K",10,15,0,0,0,0
"Zone2_C","Zone6_J",10,48,0,0,0,0
"Zone2_C","Zone6_I",10,52,0,0,0,0
"Zone2_C","Zone6_G",10,28,0,0,0,0
"Zone2_C","Zone6_F",10,32,0,0,0,0
"Zone2_C","Zone6_E",10,11,0,0,0,0
"Zone2_C","Zone6_D",10,18,0,0,0,0
"Zone2_C","Zone6_A",10,20,0,0,0,0
"Zone2_B","Zone2_A",6,18,0,0,0,0
"Zone2_B","Zone3_E",6,18,0,0,0,0
"Zone2_B","Zone3_C",6,11,0,0,0,0
"Zone2_B","Zone3_B",6,17,0,0,0,0
"Zone2_B","Zone3_A",6,18,0,0,0,0
"Zone2_B","Zone4_C",6,25,0,0,0,0
"Zone2_B","Zone4_B",6,18,0,0,0,0
"Zone2_B","Zone4_A",6,21,0,0,0,0
"Zone2_B","Zone5_G",6,7,0,0,0,0
"Zone2_B","Zone5_F",6,9,0,0,0,0
"Zone2_B","Zone5_E",6,6,0,0,0,0
"Zone2_B","Zone5_D",6,17,0,0,0,0
"Zone2_B","Zone5_C",6,11,0,0,0,0
"Zone2_B","Zone5_B",6,15,0,0,0,0
"Zone2_B","Zone5_A",6,11,0,0,0,0
"Zone2_B","Zone6_K",6,15,0,0,0,0
"Zone2_B","Zone6_J",6,48,0,0,0,0
"Zone2_B","Zone6_I",6,52,0,0,0,0
"Zone2_B","Zone6_H",6,28,0,0,0,0
"Zone2_B","Zone6_G",6,28,0,0,0,0
"Zone2_B","Zone6_F",6,32,0,0,0,0
"Zone2_B","Zone6_E",6,11,0,0,0,0
"Zone2_B","Zone6_D",6,18,0,0,0,0
"Zone2_B","Zone6_C",6,32,0,0,0,0
"Zone2_B","Zone6_B",6,25,0,0,0,0
"Zone2_B","Zone6_A",6,20,0,0,0,0
"Zone2_A","Zone3_C",18,11,0,0,0,0
"Zone2_A","Zone3_A",18,18,0,0,0,0
"Zone2_A","Zone4_C",18,25,0,0,0,0
"Zone2_A","Zone5_G",18,7,0,0,0,0
"Zone2_A","Zone5_F",18,9,0,0,0,0
"Zone2_A","Zone5_E",18,6,0,0,0,0
"Zone2_A","Zone5_D",18,17,0,0,0,0
"Zone2_A","Zone5_B",18,15,0,0,0,0
"Zone2_A","Zone5_A",18,11,0,0,0,0
"Zone2_A","Zone6_K",18,15,0,0,0,0
"Zone2_A","Zone6_J",18,48,0,0,0,0
"Zone2_A","Zone6_H",18,28,0,0,0,0
"Zone2_A","Zone6_G",18,28,0,0,0,0
"Zone2_A","Zone6_F",18,32,0,0,0,0
"Zone2_A","Zone6_E",18,11,0,0,0,0
"Zone3_E","Zone3_D",18,26,0,0,0,0
"Zone3_E","Zone3_C",18,11,0,0,0,0
"Zone3_E","Zone3_B",18,17,0,0,0,0
"Zone3_E","Zone3_A",18,18,0,0,0,0
"Zone3_E","Zone4_C",18,25,0,0,0,0
"Zone3_E","Zone4_A",18,21,0,0,0,0
"Zone3_E","Zone5_G",18,7,0,0,0,0
"Zone3_E","Zone5_F",18,9,0,0,0,0
"Zone3_E","Zone5_E",18,6,0,0,0,0
"Zone3_E","Zone5_D",18,17,0,0,0,0
"Zone3_E","Zone5_B",18,15,0,0,0,0
"Zone3_E","Zone6_K",18,15,0,0,0,0
"Zone3_E","Zone6_J",18,48,0,0,0,0
"Zone3_E","Zone6_I",18,52,0,0,0,0
"Zone3_E","Zone6_H",18,28,0,0,0,0
"Zone3_E","Zone6_G",18,28,0,0,0,0
"Zone3_E","Zone6_F",18,32,0,0,0,0
"Zone3_E","Zone6_E",18,11,0,0,0,0
"Zone3_E","Zone6_D",18,18,0,0,0,0
"Zone3_D","Zone3_C",26,11,0,0,0,0
"Zone3_D","Zone3_B",26,17,0,0,0,0
"Zone3_D","Zone3_A",26,18,0,0,0,0
"Zone3_D","Zone5_G",26,7,0,0,0,0
"Zone3_D","Zone5_F",26,9,0,0,0,0
"Zone3_D","Zone5_E",26,6,0,0,0,0
"Zone3_D","Zone6_K",26,15,0,0,0,0
"Zone3_D","Zone6_J",26,48,0,0,0,0
"Zone3_D","Zone6_G",26,28,0,0,0,0
"Zone3_D","Zone6_F",26,32,0,0,0,0
"Zone3_D","Zone6_E",26,11,0,0,0,0
"Zone3_D","Zone6_D",26,18,0,0,0,0
"Zone3_C","Zone3_B",11,17,0,0,0,0
"Zone3_C","Zone3_A",11,18,0,0,0,0
"Zone3_C","Zone4_C",11,25,0,0,0,0
"Zone3_C","Zone4_B",11,18,0,0,0,0
"Zone3_C","Zone5_E",11,6,0,0,0,0
"Zone3_C","Zone5_D",11,17,0,0,0,0
"Zone3_C","Zone5_C",11,11,0,0,0,0
"Zone3_C","Zone5_B",11,15,0,0,0,0
"Zone3_C","Zone5_A",11,11,0,0,0,0
"Zone3_C","Zone6_K",11,15,0,0,0,0
"Zone3_C","Zone6_J",11,48,0,0,0,0
"Zone3_C","Zone6_I",11,52,0,0,0,0
"Zone3_C","Zone6_H",11,28,0,0,0,0
"Zone3_C","Zone6_G",11,28,0,0,0,0
"Zone3_C","Zone6_F",11,32,0,0,0,0
"Zone3_C","Zone6_D",11,18,0,0,0,0
"Zone3_C","Zone6_C",11,32,0,0,0,0
"Zone3_C","Zone6_B",11,25,0,0,0,0
"Zone3_C","Zone6_A",11,20,0,0,0,0
"Zone3_B","Zone3_A",17,18,0,0,0,0
"Zone3_B","Zone4_B",17,18,0,0,0,0
"Zone3_B","Zone5_G",17,7,0,0,0,0
"Zone3_B","Zone5_E",17,6,0,0,0,0
"Zone3_B","Zone5_C",17,11,0,0,0,0
"Zone3_B","Zone5_B",17,15,0,0,0,0
"Zone3_B","Zone5_A",17,11,0,0,0,0
"Zone3_B","Zone6_K",17,15,0,0,0,0
"Zone3_B","Zone6_J",17,48,0,0,0,0
"Zone3_B","Zone6_I",17,52,0,0,0,0
"Zone3_B","Zone6_G",17,28,0,0,0,0
"Zone3_B","Zone6_F",17,32,0,0,0,0
"Zone3_B","Zone6_E",17,11,0,0,0,0
"Zone3_B","Zone6_D",17,18,0,0,0,0
"Zone3_B","Zone6_B",17,25,0,0,0,0
"Zone3_B","Zone6_A",17,20,0,0,0,0
"Zone3_A","Zone4_A",18,21,0,0,0,0
"Zone3_A","Zone5_G",18,7,0,0,0,0
"Zone3_A","Zone5_F",18,9,0,0,0,0
"Zone3_A","Zone5_E",18,6,0,0,0,0
"Zone3_A","Zone5_D",18,17,0,0,0,0
"Zone3_A","Zone5_C",18,11,0,0,0,0
"Zone3_A","Zone5_B",18,15,0,0,0,0
"Zone3_A","Zone6_K",18,15,0,0,0,0
"Zone3_A","Zone6_J",18,48,0,0,0,0
"Zone3_A","Zone6_I",18,52,0,0,0,0
"Zone3_A","Zone6_F",18,32,0,0,0,0
"Zone3_A","Zone6_E",18,11,0,0,0,0
"Zone3_A","Zone6_A",18,20,0,0,0,0
"Zone4_C","Zone4_B",25,18,0,0,0,0
"Zone4_C","Zone4_A",25,21,0,0,0,0
"Zone4_C","Zone5_G",25,7,0,0,0,0
"Zone4_C","Zone5_F",25,9,0,0,0,0
"Zone4_C","Zone5_E",25,6,0,0,0,0
"Zone4_C","Zone5_C",25,11,0,0,0,0
"Zone4_C","Zone5_A",25,11,0,0,0,0
"Zone4_C","Zone6_K",25,15,0,0,0,0
"Zone4_C","Zone6_J",25,48,0,0,0,0
"Zone4_C","Zone6_G",25,28,0,0,0,0
"Zone4_C","Zone6_F",25,32,0,0,0,0
"Zone4_C","Zone6_E",25,11,0,0,0,0
"Zone4_C","Zone6_D",25,18,0,0,0,0
