"cluster_1","cluster_2","n_species_1","n_species_2","n_shared","pct_of_cluster_1","pct_of_cluster_2","total_pct"
"Zone2_E","Zone3_C",8,11,7,87.5,63.6,58.3
"Zone1_A","Zone2_F",31,32,23,74.2,71.9,57.5
"Zone2_F","Zone3_A",32,18,17,53.1,94.4,51.5
"Zone2_D","Zone3_E",12,18,10,83.3,55.6,50
"Zone3_B","Zone4_C",17,25,14,82.4,56,50
"Zone1_A","Zone3_A",31,18,15,48.4,83.3,44.1
"Zone2_F","Zone3_B",32,17,15,46.9,88.2,44.1
"Zone5_F","Zone6_E",9,11,6,66.7,54.5,42.9
"Zone3_C","Zone4_A",11,21,9,81.8,42.9,39.1
"Zone4_A","Zone6_E",21,11,9,42.9,81.8,39.1
"Zone2_F","Zone4_C",32,25,16,50,64,39
"Zone5_G","Zone6_E",7,11,5,71.4,45.5,38.5
"Zone4_A","Zone5_F",21,9,8,38.1,88.9,36.4
"Zone4_C","Zone5_D",25,17,11,44,64.7,35.5
"Zone3_C","Zone6_E",11,11,5,45.5,45.5,29.4
"Zone1_B","Zone2_D",26,12,8,30.8,66.7,26.7
"Zone2_E","Zone4_A",8,21,6,75,28.6,26.1
"Zone2_A","Zone3_E",18,18,7,38.9,38.9,24.1
"Zone1_A","Zone3_B",31,17,9,29,52.9,23.1
"Zone1_A","Zone4_C",31,25,10,32.3,40,21.7
"Zone2_E","Zone5_F",8,9,3,37.5,33.3,21.4
"Zone3_B","Zone5_D",17,17,6,35.3,35.3,21.4
"Zone4_C","Zone6_C",25,32,10,40,31.2,21.3
"Zone2_D","Zone5_A",12,11,4,33.3,36.4,21.1
"Zone4_B","Zone5_A",18,11,5,27.8,45.5,20.8
"Zone1_B","Zone2_C",26,10,6,23.1,60,20
"Zone2_C","Zone3_D",10,26,6,60,23.1,20
"Zone3_A","Zone4_B",18,18,6,33.3,33.3,20
"Zone5_A","Zone6_B",11,25,6,54.5,24,20
"Zone5_D","Zone6_C",17,32,8,47.1,25,19.5
"Zone1_B","Zone3_E",26,18,7,26.9,38.9,18.9
"Zone2_A","Zone6_A",18,20,6,33.3,30,18.8
"Zone2_F","Zone6_C",32,32,10,31.2,31.2,18.5
"Zone1_B","Zone3_D",26,26,8,30.8,30.8,18.2
"Zone4_B","Zone5_B",18,15,5,27.8,33.3,17.9
"Zone3_C","Zone5_F",11,9,3,27.3,33.3,17.6
"Zone3_B","Zone6_C",17,32,7,41.2,21.9,16.7
"Zone4_A","Zone5_G",21,7,4,19,57.1,16.7
"Zone4_B","Zone6_C",18,32,7,38.9,21.9,16.3
"Zone5_B","Zone6_H",15,28,6,40,21.4,16.2
"Zone5_C","Zone6_B",11,25,5,45.5,20,16.1
"Zone3_E","Zone5_A",18,11,4,22.2,36.4,16
"Zone3_D","Zone4_C",26,25,7,26.9,28,15.9
"Zone2_A","Zone3_D",18,26,6,33.3,23.1,15.8
"Zone2_D","Zone6_B",12,25,5,41.7,20,15.6
"Zone5_D","Zone6_H",17,28,6,35.3,21.4,15.4
"Zone3_E","Zone6_A",18,20,5,27.8,25,15.2
"Zone1_D","Zone2_B",17,6,3,17.6,50,15
"Zone5_C","Zone6_A",11,20,4,36.4,20,14.8
"Zone1_A","Zone2_E",31,8,5,16.1,62.5,14.7
"Zone2_F","Zone5_D",32,17,6,18.8,35.3,14
"Zone2_F","Zone4_B",32,18,6,18.8,33.3,13.6
"Zone3_D","Zone6_B",26,25,6,23.1,24,13.3
"Zone3_E","Zone6_B",18,25,5,27.8,20,13.2
"Zone3_D","Zone4_B",26,18,5,19.2,27.8,12.8
"Zone1_A","Zone6_C",31,32,7,22.6,21.9,12.5
"Zone3_E","Zone4_B",18,18,4,22.2,22.2,12.5
"Zone3_C","Zone5_G",11,7,2,18.2,28.6,12.5
"Zone4_A","Zone5_E",21,6,3,14.3,50,12.5
"Zone1_B","Zone5_A",26,11,4,15.4,36.4,12.1
"Zone5_B","Zone6_C",15,32,5,33.3,15.6,11.9
"Zone2_E","Zone6_E",8,11,2,25,18.2,11.8
"Zone3_D","Zone6_C",26,32,6,23.1,18.8,11.5
"Zone1_C","Zone2_A",52,18,7,13.5,38.9,11.1
"Zone3_D","Zone5_B",26,15,4,15.4,26.7,10.8
"Zone1_A","Zone3_C",31,11,4,12.9,36.4,10.5
"Zone4_B","Zone6_B",18,25,4,22.2,16,10.3
"Zone5_A","Zone6_C",11,32,4,36.4,12.5,10.3
"Zone1_B","Zone4_B",26,18,4,15.4,22.2,10
"Zone1_D","Zone2_A",17,18,3,17.6,16.7,9.4
"Zone2_F","Zone6_H",32,28,5,15.6,17.9,9.1
"Zone5_E","Zone6_D",6,18,2,33.3,11.1,9.1
"Zone1_A","Zone4_B",31,18,4,12.9,22.2,8.9
"Zone3_A","Zone6_C",18,32,4,22.2,12.5,8.7
"Zone3_B","Zone4_A",17,21,3,17.6,14.3,8.6
"Zone1_B","Zone6_B",26,25,4,15.4,16,8.5
"Zone1_A","Zone4_A",31,21,4,12.9,19,8.3
"Zone3_B","Zone5_F",17,9,2,11.8,22.2,8.3
"Zone4_C","Zone6_H",25,28,4,16,14.3,8.2
"Zone1_D","Zone2_C",17,10,2,11.8,20,8
"Zone2_C","Zone4_B",10,18,2,20,11.1,7.7
"Zone3_D","Zone5_D",26,17,3,11.5,17.6,7.5
"Zone1_B","Zone6_C",26,32,4,15.4,12.5,7.4
"Zone3_E","Zone5_C",18,11,2,11.1,18.2,7.4
"Zone4_B","Zone5_C",18,11,2,11.1,18.2,7.4
"Zone2_D","Zone4_B",12,18,2,16.7,11.1,7.1
"Zone3_A","Zone6_H",18,28,3,16.7,10.7,7
"Zone4_B","Zone6_H",18,28,3,16.7,10.7,7
"Zone1_B","Zone2_B",26,6,2,7.7,33.3,6.7
"Zone1_A","Zone5_D",31,17,3,9.7,17.6,6.7
"Zone2_B","Zone3_D",6,26,2,33.3,7.7,6.7
"Zone1_B","Zone4_C",26,25,3,11.5,12,6.2
"Zone1_C","Zone3_E",52,18,4,7.7,22.2,6.1
"Zone1_C","Zone6_A",52,20,4,7.7,20,5.9
"Zone3_D","Zone6_H",26,28,3,11.5,10.7,5.9
"Zone1_D","Zone6_A",17,20,2,11.8,10,5.7
"Zone3_D","Zone5_A",26,11,2,7.7,18.2,5.7
"Zone5_E","Zone6_F",6,32,2,33.3,6.2,5.6
"Zone1_B","Zone2_F",26,32,3,11.5,9.4,5.5
"Zone4_C","Zone5_B",25,15,2,8,13.3,5.3
"Zone5_B","Zone6_B",15,25,2,13.3,8,5.3
"Zone1_B","Zone5_B",26,15,2,7.7,13.3,5.1
"Zone5_F","Zone6_C",9,32,2,22.2,6.2,5.1
"Zone2_C","Zone5_C",10,11,1,10,9.1,5
"Zone1_D","Zone3_D",17,26,2,11.8,7.7,4.9
"Zone1_B","Zone3_B",26,17,2,7.7,11.8,4.9
"Zone1_A","Zone2_D",31,12,2,6.5,16.7,4.9
"Zone2_A","Zone6_B",18,25,2,11.1,8,4.9
"Zone3_A","Zone4_C",18,25,2,11.1,8,4.9
"Zone1_B","Zone2_A",26,18,2,7.7,11.1,4.8
"Zone1_B","Zone3_A",26,18,2,7.7,11.1,4.8
"Zone3_B","Zone6_H",17,28,2,11.8,7.1,4.7
"Zone1_A","Zone3_E",31,18,2,6.5,11.1,4.3
"Zone2_E","Zone3_B",8,17,1,12.5,5.9,4.2
"Zone2_C","Zone5_B",10,15,1,10,6.7,4.2
"Zone4_C","Zone6_B",25,25,2,8,8,4.2
"Zone1_C","Zone3_D",52,26,3,5.8,11.5,4
"Zone3_D","Zone6_I",26,52,3,11.5,5.8,4
"Zone4_A","Zone6_C",21,32,2,9.5,6.2,3.9
"Zone5_G","Zone6_J",7,48,2,28.6,4.2,3.8
"Zone1_A","Zone6_B",31,25,2,6.5,8,3.7
"Zone2_A","Zone5_C",18,11,1,5.6,9.1,3.6
"Zone3_A","Zone5_A",18,11,1,5.6,9.1,3.6
"Zone1_A","Zone6_H",31,28,2,6.5,7.1,3.5
"Zone2_D","Zone3_A",12,18,1,8.3,5.6,3.4
"Zone2_D","Zone6_D",12,18,1,8.3,5.6,3.4
"Zone1_C","Zone5_C",52,11,2,3.8,18.2,3.3
"Zone5_B","Zone6_D",15,18,1,6.7,5.6,3.1
"Zone1_D","Zone3_E",17,18,1,5.9,5.6,2.9
"Zone2_C","Zone6_B",10,25,1,10,4,2.9
"Zone2_A","Zone3_B",18,17,1,5.6,5.9,2.9
