"species","colour","cluster","cluster_int"
"Sphaerodorum.gracilis","#00A0D6","K",11
"Brada.villosa","#00A0D6","K",11
"Virgularia.mirabilis","#00A0D6","K",11
"Acanthocardia.echinata","#00A0D6","K",11
"Labidoplax.buskii","#00A0D6","K",11
"Polyphysia.crassa","#00A0D6","K",11
"Polycirrus.plumosus","#00A0D6","K",11
"Rhodine.loveni","#00A0D6","K",11
"Eudorella.emarginata","#00A0D6","K",11
"Prionospio.multibranchiat","#00A0D6","K",11
"Brissopsis.lyrifera","#00A0D6","K",11
"Tellimya.tenella","#00A0D6","K",11
"Magelona.minuta","#00A0D6","K",11
"Anobothrus.gracilis","#00A0D6","K",11
"Pectinaria.belgica","#00A0D6","K",11
"Edwardsia.longicornis","#E16A86","J",10
"Mysia.undata","#E16A86","J",10
"Magelona.alleni","#E16A86","J",10
"Pholoe.baltica","#E16A86","J",10
"Chaetozone.setosa","#E16A86","J",10
"Goniada.maculata","#E16A86","J",10
"Scalibregma.inflatum","#E16A86","J",10
"Tharyx.killariensis","#E16A86","J",10
"Phoronis.muelleri","#E16A86","J",10
"Galathowenia.oculata","#E16A86","J",10
"Prionospio.fallax","#E16A86","J",10
"Phyllodoce.rosea","#E16A86","J",10
"Amphiura.filiformis","#E16A86","J",10
"Eumida.bahusiensis","#E16A86","J",10
"Glycera.alba","#E16A86","J",10
"Nucula.nitidosa","#E16A86","J",10
"Thyasira.flexuosa","#E16A86","J",10
"Abyssoninoe.hibernica","#E16A86","J",10
"Oxydromus.flexuosus","#E16A86","J",10
"Glycera.unicornis","#E16A86","J",10
"Abra.nitida","#E16A86","J",10
"Ennucula.tenuis","#E16A86","J",10
"Chalinula.limbata","#E16A86","J",10
"Eudorella.truncatula","#E16A86","J",10
"Levinsenia.gracilis","#E16A86","J",10
"Paradoneis.eliasoni","#E16A86","J",10
"Praxillella.praetermissa","#E16A86","J",10
"Rhodine.gracilior","#E16A86","J",10
"Chaetoderma.nitidulum","#E16A86","J",10
"Maldane.sarsi","#E16A86","J",10
"Diastyloides.biplicatus","#E16A86","J",10
"Parvicardium.minimum","#E16A86","J",10
"Harpinia.antennaria","#E16A86","J",10
"Ampelisca.diadema","#E16A86","J",10
"Praxillella.affinis","#E16A86","J",10
"Trichobranchus.roseus","#E16A86","J",10
"Westwoodilla.caecula","#E16A86","J",10
"Glycinde.nordmanni","#E16A86","J",10
"Golfingia.vulgaris","#E16A86","J",10
"Diastylis.laevis","#E16A86","J",10
"Dosinia.exoleta","#E16A86","J",10
"Notomastus.latericeus","#E16A86","J",10
"Cylichna.cylindracea","#E16A86","J",10
"Turritella.communis","#E16A86","J",10
"Owenia.fusiformis","#E16A86","J",10
"Polycirrus.norvegicus","#E16A86","J",10
"Odonthalia.dentata","#00AD7F","I",9
"Palmaria.palmata","#00AD7F","I",9
"Laminaria.digitata","#00AD7F","I",9
"Saccharina.latissima","#00AD7F","I",9
"Leathesia.marina","#00AD7F","I",9
"Phycodrys.rubens","#00AD7F","I",9
"Sphacelaria.cirrosa","#00AD7F","I",9
"Desmarestia.viridis","#00AD7F","I",9
"Rhodomela.confervoides","#00AD7F","I",9
"Eteone.longa","#00AD7F","I",9
"Nephtys.caeca","#00AD7F","I",9
"Aglaothamnion.tenuissimum","#00AD7F","I",9
"Polysiphonia.stricta","#00AD7F","I",9
"Coccotylus.Phyllophora","#00AD7F","I",9
"Delesseria.sanguinea","#00AD7F","I",9
"Polyides.rotunda","#00AD7F","I",9
"Vertebrata.fucoides","#00AD7F","I",9
"Fucus.serratus","#00AD7F","I",9
"Callithamnion.corymbosum","#00AD7F","I",9
"Dasya.baillouviana","#00AD7F","I",9
"Ulva.lactuca","#00AD7F","I",9
"Bryopsis.hypnoides","#00AD7F","I",9
"Chaetomorpha.melagonium","#00AD7F","I",9
"Chondrus.crispus","#00AD7F","I",9
"Cystoclonium.purpureum","#00AD7F","I",9
"Membranoptera.alata","#00AD7F","I",9
"Ahnfeltia.plicata","#00AD7F","I",9
"Ceramium.virgatum","#00AD7F","I",9
"Cladophora.rupestris","#00AD7F","I",9
"Bryopsis.plumosa","#00AD7F","I",9
"Sphaerotrichia.divaricata","#00AD7F","I",9
"Elachista.fucicola","#00AD7F","I",9
"Furcellaria.lumbricalis","#00AD7F","I",9
"Erythrotrichia.carnea","#DE63B9","H",8
