"species","colour","cluster","cluster_int"
"Corophium.volutator","#00AA5A","E",5
"Gammarus.zaddachi","#00AA5A","E",5
"Gammarus.salinus","#00AA5A","E",5
"Jaera.albifrons","#00AA5A","E",5
"Bathyporeia.pilosa","#00AA5A","E",5
"Cyanophthalma.obscura","#00AA5A","E",5
"Ecrobia.ventrosa","#00AA5A","E",5
"Gammarus.oceanicus","#00AA5A","E",5
"Theodoxus.fluviatilis","#00AA5A","E",5
"Peringia.ulvae","#00AA5A","E",5
"Mya.arenaria","#00AA5A","E",5
"Cerastoderma.glaucum","#00AA5A","E",5
"Hediste.diversicolor","#00AA5A","E",5
"Neomysis.integer","#00AA5A","E",5
"Pygospio.elegans","#00AA5A","E",5
"Einhornia.crustulenta","#00AA5A","E",5
"Rhodomela.confervoides","#00AA5A","E",5
"Eudesme.virescens","#00AA5A","E",5
"Mytilus","#00AA5A","E",5
"Battersia.arctica","#00AA5A","E",5
"Rhodochorton.purpureum","#00AA5A","E",5
"Coccotylus.Phyllophora","#00AA5A","E",5
"Gaillona.rosea","#00AA5A","E",5
"Furcellaria.lumbricalis","#00AA5A","E",5
"Vertebrata.fucoides","#00AA5A","E",5
"Cladophora.rupestris","#00AA5A","E",5
"Amphibalanus.improvisus","#00AA5A","E",5
"Ceramium.tenuicorne","#00AA5A","E",5
"Ectocarpus.Pylaiella","#00AA5A","E",5
"Pontoporeia.femorata","#E16A86","D",4
"Monoporeia.affinis","#E16A86","D",4
"Saduria.entomon","#E16A86","D",4
"Mysis.mixta","#E16A86","D",4
"Mysis.relicta","#E16A86","D",4
"Bylgides.sarsi","#E16A86","D",4
"Marenzelleria","#E16A86","D",4
"Halicryptus.spinulosus","#E16A86","D",4
"Limecola.balthica","#E16A86","D",4
"Chaetomorpha.linum","#00A6CA","C",3
"Chara.connivens","#00A6CA","C",3
"Gammarus.tigrinus","#00A6CA","C",3
"Potamogeton.perfoliatus","#00A6CA","C",3
"Myriophyllum.spicatum","#00A6CA","C",3
"Stuckenia.pectinata","#00A6CA","C",3
"Ruppia.maritima","#00A6CA","C",3
"Chara.baltica","#00A6CA","C",3
"Chara.canescens","#00A6CA","C",3
"Ranunculus.peltatus.peltatus","#00A6CA","C",3
"Chara.aspera","#00A6CA","C",3
"Zannichellia.palustris","#00A6CA","C",3
"Dreissena.polymorpha","#00A6CA","C",3
"Urospora.penicilliformis","#00A6CA","C",3
"Rhizoclonium.riparium","#00A6CA","C",3
"Ulva.prolifera","#00A6CA","C",3
"Stictyosiphon.tortilis","#00A6CA","C",3
"Elachista.fucicola","#00A6CA","C",3
"Dictyosiphon.foeniculaceus","#00A6CA","C",3
"Fucus.vesiculosus.radicans","#00A6CA","C",3
"Zannichellia.major","#00A6CA","C",3
"Chorda.filum","#00A6CA","C",3
"Ruppia.cirrhosa","#00A6CA","C",3
"Bolboschoenus.maritimus","#AA9000","B",2
"Ranunculus.aquatilis","#AA9000","B",2
"Ceratophyllum.demersum","#AA9000","B",2
"Phragmites.australis","#AA9000","B",2
"Myriophyllum.sibiricum","#AA9000","B",2
"Chara.tomentosa","#AA9000","B",2
"Najas.marina","#AA9000","B",2
"Lemna.trisulca","#AA9000","B",2
"Vaucheria","#AA9000","B",2
"Hippuris.vulgaris","#AA9000","B",2
"Schoenoplectus.tabernaemontani","#AA9000","B",2
"Lemna.minor","#B675E0","A",1
"Schoenoplectus.lacustris","#B675E0","A",1
"Typha.angustifolia","#B675E0","A",1
"Myriophyllum.verticillatum","#B675E0","A",1
"Nymphaea.alba","#B675E0","A",1
"Typha.latifolia","#B675E0","A",1
"Nuphar.lutea","#B675E0","A",1
"Equisetum.fluviatile","#B675E0","A",1
"Potamogeton.natans","#B675E0","A",1
"Sagittaria.sagittifolia","#B675E0","A",1
"Sparganium.emersum","#B675E0","A",1
"Callitriche.hermaphroditica","#B675E0","A",1
"Myriophyllum.alterniflorum","#B675E0","A",1
"Eleocharis.uniglumis","#B675E0","A",1
"Juncus.gerardii","#B675E0","A",1
"Zygnema","#B675E0","A",1
"Eleocharis.palustris","#B675E0","A",1
"Eleocharis.parvula","#B675E0","A",1
"Fontinalis.antipyretica","#B675E0","A",1
"Fontinalis.dalecarlica","#B675E0","A",1
"Chara.virgata","#B675E0","A",1
"Butomus.umbellatus","#B675E0","A",1
"Potamogeton.crispus","#B675E0","A",1
"Monostroma.balticum","#B675E0","A",1
"Potamogeton.obtusifolius","#B675E0","A",1
"Stuckenia.vaginata","#B675E0","A",1
"Aegagropila.linnaei","#B675E0","A",1
"Potamogeton.berchtoldii","#B675E0","A",1
"Cerastoderma.edule","#B675E0","A",1
"Hippuris.tetraphylla","#B675E0","A",1
"Nitellopsis.obtusa","#B675E0","A",1
