"species","colour","cluster","cluster_int"
"Corbula.gibba","#E16A86","F",6
"Ophiura.albida","#E16A86","F",6
"Abra.alba","#E16A86","F",6
"Levinsenia.gracilis","#E16A86","F",6
"Nephtys.ciliata","#E16A86","F",6
"Dendrodoa.grossularia","#E16A86","F",6
"Electra.pilosa","#E16A86","F",6
"Pholoe.assimilis","#E16A86","F",6
"Malacobdella.grossa","#E16A86","F",6
"Nereimyra.punctata","#E16A86","F",6
"Pherusa.plumosa","#E16A86","F",6
"Astarte.borealis","#E16A86","F",6
"Astarte.elliptica","#E16A86","F",6
"Priapulus.caudatus","#E16A86","F",6
"Terebellides.stroemii","#E16A86","F",6
"Gammarus.tigrinus","#E16A86","F",6
"Scoloplos.armiger","#E16A86","F",6
"Ampharete.baltica","#E16A86","F",6
"Aricidea.suecica","#E16A86","F",6
"Arctica.islandica","#E16A86","F",6
"Trochochaeta.multisetosa","#E16A86","F",6
"Asterias.rubens","#E16A86","F",6
"Phyllodoce.mucosa","#E16A86","F",6
"Phycodrys.rubens","#E16A86","F",6
"Dipolydora.quadrilobata","#E16A86","F",6
"Gastrosaccus.spinifer","#E16A86","F",6
"Parvicardium.pinnulatum","#E16A86","F",6
"Harmothoe.imbricata","#E16A86","F",6
"Kurtiella.bidentata","#E16A86","F",6
"Sphaceloderma.caespitulum","#E16A86","F",6
"Callopora.lineata","#E16A86","F",6
"Mya.truncata","#E16A86","F",6
"Lineus.ruber","#E16A86","F",6
"Crassicorophium.crassicor","#E16A86","F",6
"Aricidea.minuta","#E16A86","F",6
"Spio.goniocephala","#E16A86","F",6
"Eteone.longa","#E16A86","F",6
"Nephtys.caeca","#E16A86","F",6
"Pontoporeia.femorata","#C86DD7","E",5
"Diastylis.rathkei","#C86DD7","E",5
"Bylgides.sarsi","#C86DD7","E",5
"Halicryptus.spinulosus","#C86DD7","E",5
"Micrura.baltica","#C86DD7","E",5
"Monoporeia.affinis","#C86DD7","E",5
"Saduria.entomon","#C86DD7","E",5
"Baltidrilus.costatus","#50A315","D",4
"Aglaothamnion.tenuissimum","#50A315","D",4
"Fabricia.stellaris","#50A315","D",4
"Ceramium.diaphanum","#50A315","D",4
"Streblospio.shrubsolii","#50A315","D",4
"Polyides.rotunda","#50A315","D",4
"Alitta.succinea","#50A315","D",4
"Desmarestia.viridis","#50A315","D",4
"Tubificoides.benedii","#50A315","D",4
"Vertebrata.fucoides","#50A315","D",4
"Peringia.ulvae","#50A315","D",4
"Mya.arenaria","#50A315","D",4
"Cerastoderma.glaucum","#50A315","D",4
"Hediste.diversicolor","#50A315","D",4
"Gammarus.zaddachi","#50A315","D",4
"Amphibalanus.improvisus","#50A315","D",4
"Corophium.volutator","#50A315","D",4
"Gammarus.salinus","#50A315","D",4
"Bathyporeia.pilosa","#50A315","D",4
"Jaera.albifrons","#50A315","D",4
"Marenzelleria","#50A315","D",4
"Limecola.balthica","#50A315","D",4
"Pygospio.elegans","#50A315","D",4
"Coccotylus.Phyllophora","#50A315","D",4
"Mytilus","#50A315","D",4
"Rhodomela.confervoides","#50A315","D",4
"Einhornia.crustulenta","#50A315","D",4
"Tubificoides.pseudogaster","#009ADE","C",3
"Scytosiphon.lomentaria","#009ADE","C",3
"Polydora.cornuta","#009ADE","C",3
"Sphaerotrichia.divaricata","#009ADE","C",3
"Ulva.lactuca","#009ADE","C",3
"Dictyosiphon.chordaria","#009ADE","C",3
"Mesogloia.vermiculata","#009ADE","C",3
"Platynereis.dumerilii","#009ADE","C",3
"Heteromastus.filiformis","#009ADE","C",3
"Delesseria.sanguinea","#009ADE","C",3
"Polysiphonia.stricta","#009ADE","C",3
"Arenicola.marina","#009ADE","C",3
"Capitella.capitata","#009ADE","C",3
"Ceramium.virgatum","#009ADE","C",3
