"species","colour","cluster","cluster_int"
"Elachista.fucicola","#E16A86","F",6
"Stictyosiphon.tortilis","#E16A86","F",6
"Zannichellia.major","#E16A86","F",6
"Chorda.filum","#E16A86","F",6
"Eudesme.virescens","#E16A86","F",6
"Dictyosiphon.foeniculaceus","#E16A86","F",6
"Fucus.vesiculosus.radicans","#E16A86","F",6
"Corophium.multisetosum","#E16A86","F",6
"Rhodochorton.purpureum","#E16A86","F",6
"Cladophora.rupestris","#E16A86","F",6
"Vertebrata.fucoides","#E16A86","F",6
"Ceramium.tenuicorne","#E16A86","F",6
"Ectocarpus.Pylaiella","#E16A86","F",6
"Coccotylus.Phyllophora","#E16A86","F",6
"Furcellaria.lumbricalis","#E16A86","F",6
"Gaillona.rosea","#E16A86","F",6
"Einhornia.crustulenta","#E16A86","F",6
"Ampithoe.rubricata","#E16A86","F",6
"Mytilus","#E16A86","F",6
"Neomysis.integer","#E16A86","F",6
"Pygospio.elegans","#E16A86","F",6
"Peringia.ulvae","#E16A86","F",6
"Ecrobia.ventrosa","#E16A86","F",6
"Gammarus.oceanicus","#E16A86","F",6
"Theodoxus.fluviatilis","#E16A86","F",6
"Amphibalanus.improvisus","#E16A86","F",6
"Mya.arenaria","#E16A86","F",6
"Cerastoderma.glaucum","#E16A86","F",6
"Hediste.diversicolor","#E16A86","F",6
"Bathyporeia.pilosa","#E16A86","F",6
"Gammarus.salinus","#E16A86","F",6
"Jaera.albifrons","#E16A86","F",6
"Cyanophthalma.obscura","#E16A86","F",6
"Corophium.volutator","#E16A86","F",6
"Gammarus.zaddachi","#E16A86","F",6
"Battersia.arctica","#E16A86","F",6
"Limecola.balthica","#E16A86","F",6
"Marenzelleria","#E16A86","F",6
"Rangia.cuneata","#C86DD7","E",5
"Chara.aspera","#C86DD7","E",5
"Potamogeton.perfoliatus","#C86DD7","E",5
"Vaucheria","#C86DD7","E",5
"Ranunculus.peltatus.peltatus","#C86DD7","E",5
"Hippuris.vulgaris","#C86DD7","E",5
"Schoenoplectus.tabernaemontani","#C86DD7","E",5
"Lemna.trisulca","#C86DD7","E",5
"Myriophyllum.sibiricum","#C86DD7","E",5
"Chara.tomentosa","#C86DD7","E",5
"Najas.marina","#C86DD7","E",5
"Bolboschoenus.maritimus","#C86DD7","E",5
"Ceratophyllum.demersum","#C86DD7","E",5
"Phragmites.australis","#C86DD7","E",5
"Ulva.prolifera","#00AD9A","D",4
"Chara.connivens","#00AD9A","D",4
"Rhizoclonium.riparium","#00AD9A","D",4
"Leathesia.marina","#00AD9A","D",4
"Urospora.penicilliformis","#00AD9A","D",4
"Gammarus.tigrinus","#00AD9A","D",4
"Ruppia.maritima","#00AD9A","D",4
"Chara.baltica","#00AD9A","D",4
"Chara.canescens","#00AD9A","D",4
"Zannichellia.palustris","#00AD9A","D",4
"Myriophyllum.spicatum","#00AD9A","D",4
"Stuckenia.pectinata","#00AD9A","D",4
"Dreissena.polymorpha","#00AD9A","D",4
"Chaetomorpha.linum","#00AD9A","D",4
"Ruppia.cirrhosa","#00AD9A","D",4
"Potamogeton.gramineus","#50A315","C",3
"Callitriche.hermaphroditica","#50A315","C",3
"Myriophyllum.alterniflorum","#50A315","C",3
"Chara.virgata","#50A315","C",3
"Potamogeton.berchtoldii","#50A315","C",3
"Potamogeton.friesii","#50A315","C",3
"Callitriche.palustris","#50A315","C",3
"Elatine.hydropiper","#50A315","C",3
"Caltha.palustris","#50A315","C",3
"Ranunculus.reptans","#50A315","C",3
"Eleocharis.palustris","#50A315","C",3
"Limosella.aquatica","#50A315","C",3
"Potamogeton.pusillus","#50A315","C",3
"Eleocharis.acicularis","#50A315","C",3
"Subularia.aquatica","#50A315","C",3
"Mysis.mixta","#B88A00","B",2
"Mysis.relicta","#B88A00","B",2
"Monoporeia.affinis","#B88A00","B",2
"Saduria.entomon","#B88A00","B",2
"Halicryptus.spinulosus","#B88A00","B",2
"Pontoporeia.femorata","#B88A00","B",2
"Potamogeton.obtusifolius","#009ADE","A",1
"Schoenoplectus.lacustris","#009ADE","A",1
"Typha.angustifolia","#009ADE","A",1
"Myriophyllum.verticillatum","#009ADE","A",1
"Nymphaea.alba","#009ADE","A",1
"Typha.latifolia","#009ADE","A",1
"Nuphar.lutea","#009ADE","A",1
"Equisetum.fluviatile","#009ADE","A",1
"Potamogeton.natans","#009ADE","A",1
"Sagittaria.sagittifolia","#009ADE","A",1
"Sparganium.emersum","#009ADE","A",1
"Zygnema","#009ADE","A",1
"Crassula.aquatica","#009ADE","A",1
"Persicaria.foliosa","#009ADE","A",1
"Sagittaria.natans","#009ADE","A",1
"Elodea.nuttallii","#009ADE","A",1
"Chara.braunii","#009ADE","A",1
"Nitella.wahlbergiana","#009ADE","A",1
"Aegagropila.linnaei","#009ADE","A",1
"Fontinalis.antipyretica","#009ADE","A",1
"Nitella.flexilis","#009ADE","A",1
"Fontinalis.dalecarlica","#009ADE","A",1
"Fissidens.fontanus","#009ADE","A",1
"Ulothrix.zonata","#009ADE","A",1
"Alisma.wahlenbergii","#009ADE","A",1
"Eleocharis.mamillata","#009ADE","A",1
"Cicuta.virosa","#009ADE","A",1
"Eleocharis.parvula","#009ADE","A",1
"Butomus.umbellatus","#009ADE","A",1
"Potamogeton.crispus","#009ADE","A",1
"Elodea.canadensis","#009ADE","A",1
"Utricularia.vulgaris","#009ADE","A",1
"Potamogeton.praelongus","#009ADE","A",1
"Stuckenia.vaginata","#009ADE","A",1
"Nitellopsis.obtusa","#009ADE","A",1
"Ranunculus.aquatilis","#009ADE","A",1
"Fontinalis.hypnoides","#009ADE","A",1
"Hippuris.tetraphylla","#009ADE","A",1
"Cerastoderma.edule","#009ADE","A",1
"Batrachospermum","#009ADE","A",1
"Microphthalmus.sczelkowii","#009ADE","A",1
"Eleocharis.uniglumis","#009ADE","A",1
"Juncus.gerardii","#009ADE","A",1
"Triglochin.maritima","#009ADE","A",1
"Ascidiella.aspersa","#009ADE","A",1
"Ericthonius.brasiliensis","#009ADE","A",1
"Chara.horrida","#009ADE","A",1
"Lemna.minor","#009ADE","A",1
"Monostroma.balticum","#009ADE","A",1
