"species","colour","cluster","cluster_int","cluster_name"
"Ampithoe.rubricata","#9183E6","D",4,"Zone1_D"
"Einhornia.crustulenta","#9183E6","D",4,"Zone1_D"
"Rhodochorton.purpureum","#9183E6","D",4,"Zone1_D"
"Furcellaria.lumbricalis","#9183E6","D",4,"Zone1_D"
"Gaillona.rosea","#9183E6","D",4,"Zone1_D"
"Neomysis.integer","#9183E6","D",4,"Zone1_D"
"Cladophora.rupestris","#9183E6","D",4,"Zone1_D"
"Vertebrata.fucoides","#9183E6","D",4,"Zone1_D"
"Ceramium.tenuicorne","#9183E6","D",4,"Zone1_D"
"Ectocarpus.Pylaiella","#9183E6","D",4,"Zone1_D"
"Mya.arenaria","#9183E6","D",4,"Zone1_D"
"Cerastoderma.glaucum","#9183E6","D",4,"Zone1_D"
"Hediste.diversicolor","#9183E6","D",4,"Zone1_D"
"Gammarus.oceanicus","#9183E6","D",4,"Zone1_D"
"Theodoxus.fluviatilis","#9183E6","D",4,"Zone1_D"
"Ecrobia.ventrosa","#9183E6","D",4,"Zone1_D"
"Peringia.ulvae","#9183E6","D",4,"Zone1_D"
"Battersia.arctica","#9183E6","D",4,"Zone1_D"
"Limecola.balthica","#9183E6","D",4,"Zone1_D"
"Marenzelleria","#9183E6","D",4,"Zone1_D"
"Corophium.volutator","#9183E6","D",4,"Zone1_D"
"Cyanophthalma.obscura","#9183E6","D",4,"Zone1_D"
"Gammarus.zaddachi","#9183E6","D",4,"Zone1_D"
"Bathyporeia.pilosa","#9183E6","D",4,"Zone1_D"
"Amphibalanus.improvisus","#9183E6","D",4,"Zone1_D"
"Gammarus.salinus","#9183E6","D",4,"Zone1_D"
"Jaera.albifrons","#9183E6","D",4,"Zone1_D"
"Alisma.wahlenbergii","#00AD9A","C",3,"Zone1_C"
"Eleocharis.mamillata","#00AD9A","C",3,"Zone1_C"
"Cicuta.virosa","#00AD9A","C",3,"Zone1_C"
"Eleocharis.parvula","#00AD9A","C",3,"Zone1_C"
"Chara.virgata","#00AD9A","C",3,"Zone1_C"
"Potamogeton.berchtoldii","#00AD9A","C",3,"Zone1_C"
"Equisetum.fluviatile","#00AD9A","C",3,"Zone1_C"
"Potamogeton.friesii","#00AD9A","C",3,"Zone1_C"
"Callitriche.palustris","#00AD9A","C",3,"Zone1_C"
"Elatine.hydropiper","#00AD9A","C",3,"Zone1_C"
"Caltha.palustris","#00AD9A","C",3,"Zone1_C"
"Ranunculus.reptans","#00AD9A","C",3,"Zone1_C"
"Potamogeton.gramineus","#00AD9A","C",3,"Zone1_C"
"Callitriche.hermaphroditica","#00AD9A","C",3,"Zone1_C"
"Myriophyllum.alterniflorum","#00AD9A","C",3,"Zone1_C"
"Eleocharis.uniglumis","#00AD9A","C",3,"Zone1_C"
"Eleocharis.palustris","#00AD9A","C",3,"Zone1_C"
"Limosella.aquatica","#00AD9A","C",3,"Zone1_C"
"Potamogeton.pusillus","#00AD9A","C",3,"Zone1_C"
"Eleocharis.acicularis","#00AD9A","C",3,"Zone1_C"
"Subularia.aquatica","#00AD9A","C",3,"Zone1_C"
"Zannichellia.major","#909800","B",2,"Zone1_B"
"Chorda.filum","#909800","B",2,"Zone1_B"
"Eudesme.virescens","#909800","B",2,"Zone1_B"
"Fucus.vesiculosus.radicans","#909800","B",2,"Zone1_B"
"Stictyosiphon.tortilis","#909800","B",2,"Zone1_B"
"Dictyosiphon.foeniculaceus","#909800","B",2,"Zone1_B"
"Elachista.fucicola","#909800","B",2,"Zone1_B"
"Ulva.prolifera","#909800","B",2,"Zone1_B"
"Urospora.penicilliformis","#909800","B",2,"Zone1_B"
"Chara.connivens","#909800","B",2,"Zone1_B"
