"species","colour","cluster","cluster_int"
"Gammarus.zaddachi","#009ADE","C",3
"Alitta.succinea","#009ADE","C",3
"Tubificoides.benedii","#009ADE","C",3
"Baltidrilus.costatus","#009ADE","C",3
"Polyides.rotunda","#009ADE","C",3
"Streblospio.shrubsolii","#009ADE","C",3
"Vertebrata.fucoides","#009ADE","C",3
"Jaera.albifrons","#009ADE","C",3
"Peringia.ulvae","#009ADE","C",3
"Hediste.diversicolor","#009ADE","C",3
"Mya.arenaria","#009ADE","C",3
"Bathyporeia.pilosa","#009ADE","C",3
"Amphibalanus.improvisus","#009ADE","C",3
"Cerastoderma.glaucum","#009ADE","C",3
"Corophium.volutator","#009ADE","C",3
"Gammarus.salinus","#009ADE","C",3
"Mytilus","#009ADE","C",3
"Ceramium.diaphanum","#009ADE","C",3
"Desmarestia.viridis","#009ADE","C",3
"Coccotylus.Phyllophora","#009ADE","C",3
"Einhornia.crustulenta","#009ADE","C",3
"Rhodomela.confervoides","#009ADE","C",3
"Fabricia.stellaris","#009ADE","C",3
"Aglaothamnion.tenuissimum","#009ADE","C",3
"Ampithoe.rubricata","#009ADE","C",3
"Elachista.fucicola","#50A315","B",2
"Dictyosiphon.foeniculaceus","#50A315","B",2
"Cladophora.sericea","#50A315","B",2
"Dumontia.contorta","#50A315","B",2
"Leathesia.marina","#50A315","B",2
"Ecrobia.ventrosa","#50A315","B",2
"Neomysis.integer","#50A315","B",2
"Ceramium.virgatum","#50A315","B",2
"Ceramium.tenuicorne","#50A315","B",2
"Ectocarpus.Pylaiella","#50A315","B",2
"Heterotanais.oerstedii","#50A315","B",2
"Tubificoides.pseudogaster","#50A315","B",2
"Triglochin.maritima","#50A315","B",2
"Scytosiphon.lomentaria","#50A315","B",2
"Ruppia.maritima","#50A315","B",2
"Chaetomorpha.linum","#50A315","B",2
"Ruppia.cirrhosa","#50A315","B",2
"Zostera.marina","#50A315","B",2
"Marenzelleria","#E16A86","A",1
"Limecola.balthica","#E16A86","A",1
"Pygospio.elegans","#E16A86","A",1
"Diastylis.rathkei","#E16A86","A",1
"Bylgides.sarsi","#E16A86","A",1
"Halicryptus.spinulosus","#E16A86","A",1
"Ampharete.acutifrons","#E16A86","A",1
"Micrura.baltica","#E16A86","A",1
"Pontoporeia.femorata","#E16A86","A",1
"Saduria.entomon","#E16A86","A",1
"Aricidea.cerrutii","#E16A86","A",1
"Opercularella.lacerata","#E16A86","A",1
"Astarte.elliptica","#E16A86","A",1
"Lagis.koreni","#E16A86","A",1
"Terebellides.stroemii","#E16A86","A",1
"Ampharete.baltica","#E16A86","A",1
"Mya.truncata","#E16A86","A",1
"Corophium.multisetosum","#E16A86","A",1
"Monoporeia.affinis","#E16A86","A",1
"Apherusa.bispinosa","#E16A86","A",1
"Callopora.lineata","#E16A86","A",1
