"species","colour","cluster","cluster_int"
"Eleocharis.palustris","#9183E6","D",4
"Ranunculus.peltatus.peltatus","#9183E6","D",4
"Chara.tomentosa","#9183E6","D",4
"Najas.marina","#9183E6","D",4
"Hippuris.vulgaris","#9183E6","D",4
"Schoenoplectus.tabernaemontani","#9183E6","D",4
"Lemna.trisulca","#9183E6","D",4
"Myriophyllum.sibiricum","#9183E6","D",4
"Lemna.minor","#9183E6","D",4
"Potamogeton.obtusifolius","#9183E6","D",4
"Typha.angustifolia","#9183E6","D",4
"Nuphar.lutea","#9183E6","D",4
"Nymphaea.alba","#9183E6","D",4
"Potamogeton.natans","#9183E6","D",4
"Schoenoplectus.lacustris","#9183E6","D",4
"Myriophyllum.verticillatum","#9183E6","D",4
"Typha.latifolia","#9183E6","D",4
"Potamogeton.gramineus","#00AD9A","C",3
"Callitriche.hermaphroditica","#00AD9A","C",3
"Myriophyllum.alterniflorum","#00AD9A","C",3
"Eleocharis.uniglumis","#00AD9A","C",3
"Limosella.aquatica","#00AD9A","C",3
"Potamogeton.pusillus","#00AD9A","C",3
"Eleocharis.acicularis","#00AD9A","C",3
"Subularia.aquatica","#00AD9A","C",3
"Chara.virgata","#00AD9A","C",3
"Potamogeton.berchtoldii","#00AD9A","C",3
"Equisetum.fluviatile","#00AD9A","C",3
"Potamogeton.friesii","#00AD9A","C",3
"Callitriche.palustris","#00AD9A","C",3
"Elatine.hydropiper","#00AD9A","C",3
"Caltha.palustris","#00AD9A","C",3
"Ranunculus.reptans","#00AD9A","C",3
"Sagittaria.natans","#00AD9A","C",3
"Elodea.nuttallii","#00AD9A","C",3
"Chara.braunii","#00AD9A","C",3
"Nitella.wahlbergiana","#00AD9A","C",3
"Pisione.remota","#00AD9A","C",3
"Zygnema","#00AD9A","C",3
"Crassula.aquatica","#00AD9A","C",3
"Persicaria.foliosa","#00AD9A","C",3
"Fontinalis.antipyretica","#00AD9A","C",3
"Nitella.flexilis","#00AD9A","C",3
"Fontinalis.dalecarlica","#00AD9A","C",3
"Fissidens.fontanus","#00AD9A","C",3
"Ulothrix.zonata","#00AD9A","C",3
"Alisma.wahlenbergii","#00AD9A","C",3
"Eleocharis.mamillata","#00AD9A","C",3
"Cicuta.virosa","#00AD9A","C",3
"Eleocharis.parvula","#00AD9A","C",3
"Sagittaria.sagittifolia","#00AD9A","C",3
"Sparganium.emersum","#00AD9A","C",3
"Butomus.umbellatus","#00AD9A","C",3
"Elodea.canadensis","#00AD9A","C",3
"Utricularia.vulgaris","#00AD9A","C",3
"Ascidiella.aspersa","#00AD9A","C",3
"Ericthonius.brasiliensis","#00AD9A","C",3
"Juncus.gerardii","#00AD9A","C",3
"Triglochin.maritima","#00AD9A","C",3
"Nitellopsis.obtusa","#00AD9A","C",3
"Ranunculus.aquatilis","#00AD9A","C",3
"Potamogeton.praelongus","#00AD9A","C",3
"Stuckenia.vaginata","#00AD9A","C",3
"Fontinalis.hypnoides","#00AD9A","C",3
"Hippuris.tetraphylla","#00AD9A","C",3
"Cerastoderma.edule","#00AD9A","C",3
"Urospora.penicilliformis","#00AD9A","C",3
"Batrachospermum","#00AD9A","C",3
"Microphthalmus.sczelkowii","#00AD9A","C",3
"Potamogeton.perfoliatus","#E16A86","B",2
"Vaucheria","#E16A86","B",2
"Chara.aspera","#E16A86","B",2
"Zannichellia.palustris","#E16A86","B",2
"Aegagropila.linnaei","#E16A86","B",2
"Rangia.cuneata","#E16A86","B",2
"Bolboschoenus.maritimus","#E16A86","B",2
"Gammarus.tigrinus","#E16A86","B",2
"Myriophyllum.spicatum","#E16A86","B",2
"Stuckenia.pectinata","#E16A86","B",2
"Ceratophyllum.demersum","#E16A86","B",2
"Phragmites.australis","#E16A86","B",2
"Dreissena.polymorpha","#E16A86","B",2
"Ampithoe.rubricata","#E16A86","B",2
"Ecrobia.ventrosa","#E16A86","B",2
"Peringia.ulvae","#E16A86","B",2
"Potamogeton.crispus","#E16A86","B",2
"Ceramium.diaphanum","#E16A86","B",2
"Chaetomorpha.linum","#E16A86","B",2
"Ruppia.cirrhosa","#E16A86","B",2
"Zostera.marina","#E16A86","B",2
"Chara.connivens","#E16A86","B",2
"Rhizoclonium.riparium","#E16A86","B",2
"Ulva.prolifera","#E16A86","B",2
"Chara.baltica","#E16A86","B",2
"Chara.canescens","#E16A86","B",2
"Mysis.relicta","#909800","A",1
"Monoporeia.affinis","#909800","A",1
"Saduria.entomon","#909800","A",1
"Corophium.volutator","#909800","A",1
"Cyanophthalma.obscura","#909800","A",1
"Gammarus.zaddachi","#909800","A",1
"Marenzelleria","#909800","A",1
"Battersia.arctica","#909800","A",1
"Limecola.balthica","#909800","A",1
"Eudesme.virescens","#909800","A",1
"Zannichellia.major","#909800","A",1
"Stictyosiphon.tortilis","#909800","A",1
"Dictyosiphon.foeniculaceus","#909800","A",1
"Fucus.vesiculosus.radicans","#909800","A",1
"Rhodochorton.purpureum","#909800","A",1
"Gaillona.rosea","#909800","A",1
"Vertebrata.fucoides","#909800","A",1
"Ectocarpus.Pylaiella","#909800","A",1
"Furcellaria.lumbricalis","#909800","A",1
"Mya.arenaria","#909800","A",1
"Cerastoderma.glaucum","#909800","A",1
"Hediste.diversicolor","#909800","A",1
"Amphibalanus.improvisus","#909800","A",1
"Bathyporeia.pilosa","#909800","A",1
"Theodoxus.fluviatilis","#909800","A",1
"Gammarus.salinus","#909800","A",1
"Jaera.albifrons","#909800","A",1
"Ceramium.tenuicorne","#909800","A",1
"Cladophora.rupestris","#909800","A",1
"Gammarus.oceanicus","#909800","A",1
"Neomysis.integer","#909800","A",1
